dataset,n,kappa,h,label,nearest_control,margin,ferro_score,antiphase_score,transverse_score,distance_ferro_like,distance_antiphase_like,distance_paramagnetic_like,distance_degraded
grid_n8,8,0.2,1.3,paramagnetic_like,paramagnetic_like,0.7353141461052406,0.12810238536517884,-0.060654516804933056,0.890381543879637,1.1902250075937821,1.2172906465992752,0.16324736547529606,0.8985615115805367
grid_n8,8,0.2,1.4000000000000001,paramagnetic_like,paramagnetic_like,0.7663577296349049,0.11370160210525533,-0.05173478987707177,0.9037999102033152,1.2094944066087003,1.2204330002575057,0.14372899373013034,0.9100867233650353
grid_n8,8,0.2,1.5,paramagnetic_like,paramagnetic_like,0.7918087367649718,0.10236559502168026,-0.04425419888642357,0.9148198286841865,1.2250722682323936,1.2232428834902893,0.12798455759600474,0.9197932943609766
grid_n8,8,0.2,1.6,paramagnetic_like,paramagnetic_like,0.8129952511145347,0.09319331312126902,-0.037933449389350914,0.9240064564755996,1.2379194170285868,1.2257377187239704,0.11503857763005672,0.9280338287445915
grid_n8,8,0.2,1.7000000000000002,paramagnetic_like,paramagnetic_like,0.8308517245991802,0.08560592470697626,-0.03256033615510449,0.9317578822995092,1.2486835821307218,1.2279501458742845,0.10423109876382712,0.9350828233630073
grid_n8,8,0.2,1.8,paramagnetic_like,paramagnetic_like,0.8460591528925612,0.0792155205950631,-0.027968925738105572,0.9383649787341197,1.2578199848945826,1.2299153076731448,0.09509610925241971,0.9411552621449809
grid_n8,8,0.2,1.9000000000000001,paramagnetic_like,paramagnetic_like,0.8591274931741555,0.07375252434548761,-0.024027092994673243,0.9440461560984411,1.2656594057233361,1.2316660620446442,0.08729336673594758,0.946420859910103
grid_n8,8,0.2,2.0,paramagnetic_like,paramagnetic_like,0.8704468783770601,0.0690236766569282,-0.02062835259830335,0.9489689021951813,1.2724487584546835,1.23323144865023,0.08056783233889438,0.9510147107159546
grid_n8,8,0.25,0.0,ferro_like,ferro_like,0.9100137361600648,1.0,-0.3333333333333333,0.0,0.0,1.4142135623730951,1.352081728298996,0.9100137361600648
grid_n8,8,0.25,0.1,ferro_like,ferro_like,0.8411693711132086,0.9954711719692586,-0.33181937507475306,0.0670754874520759,0.06720203487815367,1.4122038546364675,1.3003798046411565,0.9083714059913622
grid_n8,8,0.25,0.2,ferro_like,ferro_like,0.7649528094895329,0.9807417342331473,-0.32685614337366103,0.13683306833787856,0.13795232264362825,1.4055650441339493,1.2416003950372456,0.9029051321331611
grid_n8,8,0.25,0.30000000000000004,ferro_like,ferro_like,0.672650002290239,0.9507348186830243,-0.31680092379913566,0.2139086681204575,0.2185609239209729,1.3916738827251107,1.1689480650385333,0.8912109262112119
grid_n8,8,0.25,0.4,ferro_like,ferro_like,0.5381649189047477,0.8870625610996633,-0.2968240123831005,0.31042468764073616,0.3269230853098851,1.36179080779964,1.0618511570623184,0.8650880042146328
grid_n8,8,0.25,0.5,uncertain,ferro_like,0.30614543238034064,0.7412359357890318,-0.2564755597026828,0.4479577411710951,0.505226933148881,1.2988958700234032,0.8731607144176236,0.8113723655292217
grid_n8,8,0.25,0.6000000000000001,uncertain,paramagnetic_like,0.12665832084032602,0.515174476632715,-0.19887091001115498,0.6039879855917736,0.7449403701692263,1.2267020234074155,0.6182820493289003,0.7682764240206073
grid_n8,8,0.25,0.7000000000000001,paramagnetic_like,paramagnetic_like,0.3503830867671666,0.3388954625094221,-0.15200151309289742,0.7117001999291775,0.9271657474129598,1.1961210859301272,0.42900485742572464,0.7793879441928913
grid_n8,8,0.25,0.8,paramagnetic_like,paramagnetic_like,0.4863577961540159,0.24083590441685837,-0.12076882834363693,0.7746577252440263,1.032842270714474,1.1913770315981371,0.3215447013305563,0.8079024974845722
grid_n8,8,0.25,0.9,paramagnetic_like,paramagnetic_like,0.5776027459329105,0.18596566672417797,-0.09847682853344934,0.8152674415811152,1.096827240966431,1.1942299427218859,0.2570191651127284,0.8346219110456389
grid_n8,8,0.25,1.0,paramagnetic_like,paramagnetic_like,0.6432224926310852,0.15224324264350608,-0.0812730080524507,0.8443533330163104,1.1397012108298508,1.1988553026415822,0.2137452391328159,0.8569677317639012
grid_n8,8,0.25,1.1,paramagnetic_like,paramagnetic_like,0.693112200761097,0.12959567403400543,-0.06742764904692271,0.8665439379296479,1.1707735703588582,1.2035965504190853,0.18228170903494162,0.8753939097960386
grid_n8,8,0.25,1.2000000000000002,paramagnetic_like,paramagnetic_like,0.7324423667581065,0.11329943560315939,-0.05605794002110043,0.8841074579633006,1.194510488463655,1.207980227233401,0.1581988602940272,0.8906412270521337
grid_n8,8,0.25,1.3,paramagnetic_like,paramagnetic_like,0.7642054473188344,0.10095195110037831,-0.04662304724740973,0.8983381925952227,1.2132994736732206,1.2118977259292512,0.13914217716243193,0.9033476244812664
grid_n8,8,0.25,1.4000000000000001,paramagnetic_like,paramagnetic_like,0.790306607648296,0.09122692200460358,-0.03874304400387222,0.910063061167165,1.2285503796704162,1.2153590888713461,0.12371248471757217,0.9140190923658681
grid_n8,8,0.25,1.5,paramagnetic_like,paramagnetic_like,0.8120466019298438,0.08333779649430625,-0.03212965673014608,0.9198506761829275,1.2411642644017116,1.2184105876871296,0.1110045089971475,0.9230511109269913
grid_n8,8,0.25,1.6,paramagnetic_like,paramagnetic_like,0.8303570626875068,0.076789092292164,-0.026555819015273558,0.9281107382558713,1.2517523922842788,1.221105520265801,0.10039574084977988,0.9307528035372866
grid_n8,8,0.25,1.7000000000000002,paramagnetic_like,paramagnetic_like,0.8459275882952545,0.07125260945390766,-0.02183955260113239,0.9351477329185753,1.260748275114159,1.2234940165972878,0.09143925753141964,0.9373668458266742
grid_n8,8,0.25,1.8,paramagnetic_like,paramagnetic_like,0.8592808302359998,0.06650170178778213,-0.017833776583666843,0.9411929991683659,1.2684698351038048,1.2256199923191498,0.0838040650145234,0.9430848952505232
grid_n8,8,0.25,1.9000000000000001,paramagnetic_like,paramagnetic_like,0.8708200817296394,0.06237433040493778,-0.014419027958566163,0.9464253088006612,1.2751563403962185,1.2275207992531805,0.07723926312684161,0.948059344856481
grid_n8,8,0.25,2.0,paramagnetic_like,paramagnetic_like,0.8808610461338691,0.05875123488376304,-0.011497913349621506,0.9509847453103433,1.2809916147867828,1.229227826005036,0.07155118765773834,0.9524122337916074
