n,kappa,metric,h,value
8,0.3,chi_f_per_site,1.525,0.00593519598748687
8,0.3,chi_f_per_site,1.5750000000000002,0.0053067687328096115
8,0.3,chi_f_per_site,1.625,0.004759607868853996
8,0.3,chi_f_per_site,1.6750000000000003,0.004281459932513102
8,0.3,chi_f_per_site,1.725,0.0038621633871986087
8,0.3,chi_f_per_site,1.775,0.0034932503794885823
8,0.3,chi_f_per_site,1.8250000000000002,0.003167632887736215
8,0.3,chi_f_per_site,1.875,0.0028793531446902644
8,0.3,chi_f_per_site,1.9250000000000003,0.0026233837023610547
8,0.3,chi_f_per_site,1.975,0.0023954662637863844
8,0.8,negative_order_derivative,0.05,0.014076629578874567
8,0.8,negative_order_derivative,0.1,0.03140807853547045
8,0.8,negative_order_derivative,0.15000000000000002,0.05058533092355777
8,0.8,negative_order_derivative,0.2,0.07472951101392145
8,0.8,negative_order_derivative,0.25,0.10712914945158492
8,0.8,negative_order_derivative,0.30000000000000004,0.15284648423124203
8,0.8,negative_order_derivative,0.35000000000000003,0.21865822187007122
8,0.8,negative_order_derivative,0.4,0.31020070973353775
8,0.8,negative_order_derivative,0.45,0.4237406311239065
8,0.8,negative_order_derivative,0.5,0.5361605603896149
8,0.8,negative_order_derivative,0.55,0.609172366905729
8,0.8,negative_order_derivative,0.6000000000000001,0.6158958084182538
