id,kappa,layers,left_h,right_h,left_branch_id,right_branch_id,comparison_p,actual_switch_pair_checked,actual_switch_pair_sensitive,both_preparations_pass,pair_complete,opposite_direction_checked,opposite_direction_sensitive,actual_switch_pair_sensitive_at_left,actual_switch_pair_sensitive_at_right
k0.3_L4_i6,0.3,4,0.35,0.4,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed211/independent_endpoint,0.01,True,True,False,True,True,True,True,True
k0.3_L4_i6,0.3,4,0.35,0.4,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed211/independent_endpoint,0.05,True,True,False,True,True,False,True,True
k0.3_L4_i11,0.3,4,0.6,0.65,stage3_slices/k0.3/L4/descending/seed211/independent_endpoint,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,0,True,True,False,True,,,True,False
k0.3_L4_i11,0.3,4,0.6,0.65,stage3_slices/k0.3/L4/descending/seed211/independent_endpoint,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,0.01,True,True,False,True,,,True,True
k0.3_L4_i11,0.3,4,0.6,0.65,stage3_slices/k0.3/L4/descending/seed211/independent_endpoint,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,0.05,True,True,False,True,,,True,True
k0.3_L4_i12,0.3,4,0.65,0.7,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,0,True,False,True,True,,,False,False
k0.3_L4_i12,0.3,4,0.65,0.7,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,0.01,True,True,True,True,,,True,True
k0.3_L4_i12,0.3,4,0.65,0.7,stage3_slices/k0.3/L4/ascending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,0.05,True,True,True,True,,,True,False
k0.3_L4_i14,0.3,4,0.75,0.8,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed101/independent_endpoint,0,True,False,True,True,,,False,False
k0.3_L4_i14,0.3,4,0.75,0.8,stage3_slices/k0.3/L4/descending/seed307/independent_endpoint,stage3_slices/k0.3/L4/descending/seed101/independent_endpoint,0.01,True,True,True,True,,,True,True
