cohort,mode,budget,p,method,requested_points,points,MSE_ED_mean,MSE_ED_median,MSE_ED_q10,MSE_ED_q90,MSE_own_clean,bias_squared,sampling_MSE,physical_labelled_points,correct_coordinate_equivalents,wrong_coordinate_equivalents,rejected_coordinate_equivalents,shots_all32,CNOT_shots_all32,one_qubit_gate_shots_all32
window_0.8,equal_shots,100000,0,zne_quadratic,17,17,0.00011807897037512344,9.649876550708874e-05,6.174400384188006e-05,0.00021379986903826608,1.4881479794082601e-05,0.00010517059644542611,1.4881479794082638e-05,0,0,0,0,54400000,20879860800,10083195648
window_0.8,equal_shots,100000,0,sv,17,17,0.00011539342733980732,9.904408182761018e-05,5.3345934707794575e-05,0.00020751765419150687,9.767843980501973e-06,0.00010517059644542622,9.76784398050191e-06,0,0,0,0,54400000,6960000000,10286290432
window_0.8,equal_shots,100000,0.01,raw,17,17,0.017506576181917893,0.017263667572022894,0.012696107558512627,0.023292348105960283,0.01942712711492366,0.01750423264285842,1.300813179471567e-06,0,0,0,0,54400000,6960000000,10083200000
window_0.8,equal_shots,100000,0.01,zne_quadratic,17,17,0.0016343884304119126,0.0015900550860661197,0.001183565387878132,0.0022356079567128796,0.0022919289762111743,0.001620359920269188,1.9939779625392744e-05,0,0,0,0,54400000,20879860800,10083195648
window_0.8,equal_shots,100000,0.01,sv,17,17,0.012675159420423583,0.012710153009820844,0.009065670149236685,0.017142034114651174,0.014330689704032479,0.012686855727711376,2.989850344501041e-05,0,0,0,0,54400000,6960000000,10286290432
window_0.8,equal_shots,100000,0.05,raw,17,17,0.091029579018411,0.09170350660353332,0.06828548775936526,0.11682218473604608,0.09510804761311116,0.0910336448963026,1.3784497535985422e-06,0,0,0,0,54400000,6960000000,10083200000
window_0.8,equal_shots,100000,0.05,zne_quadratic,17,17,0.07780025067585307,0.07690233201122601,0.05671991656196238,0.10173722662159579,0.08170102242689248,0.0777991460724375,2.3244020336983192e-05,0,0,0,0,54400000,20879860800,10083195648
window_0.8,equal_shots,100000,0.05,sv,17,17,0.09072734119005424,0.09116207652540365,0.06768623168180432,0.11679380754186702,0.0947994067881907,0.09075865219993093,4.371631392986645e-05,0,0,0,0,54400000,6960000000,10286290432
window_0.8,equal_gate,100000,0,raw,17,17,0.00010613608616615417,9.107601451887199e-05,3.844885044319947e-05,0.00020450197775535552,9.881171873880706e-07,0.00010517059644542605,9.881171873880375e-07,0,0,0,0,54400000,6960000000,10083200000
window_0.8,equal_gate,100000,0,zne_quadratic,17,17,0.0001608779804695193,0.00014575071889312696,0.00010097182879294742,0.00026317072277411374,4.467169134755486e-05,0.00010517059644542611,4.467169134755456e-05,0,0,0,0,18133696,6960000000,3361129536
window_0.8,equal_gate,100000,0,sv,17,17,0.0001135150621357751,9.738089169807899e-05,4.5799986539207056e-05,0.00020701367083372627,9.090164883462735e-06,0.00010517059644542622,9.090164883462751e-06,0,0,0,0,54400000,6960000000,10286290432
window_0.8,equal_gate,100000,0.01,raw,17,17,0.017512575654283793,0.017320041518004033,0.012753905204562876,0.02324229248321685,0.019432993385599392,0.01750423264285842,1.2444270007263655e-06,0,0,0,0,54400000,6960000000,10083200000
window_0.8,equal_gate,100000,0.01,zne_quadratic,17,17,0.0016997183198737466,0.0016577050335751646,0.0012452723446519853,0.0022556139709770397,0.0023638149946034344,0.001620359920269188,5.801263763639436e-05,0,0,0,0,18133696,6960000000,3361129536
window_0.8,equal_gate,100000,0.01,sv,17,17,0.012692408337593627,0.01252387958090668,0.009170670185860975,0.017204981579343272,0.014347038621329748,0.012686855727711376,3.082993720129586e-05,0,0,0,0,54400000,6960000000,10286290432
window_0.8,equal_gate,100000,0.05,raw,17,17,0.09103778471100246,0.09163081417097715,0.06827690610581799,0.11692227091590528,0.09511743305643797,0.0910336448963026,1.4431141354374835e-06,0,0,0,0,54400000,6960000000,10083200000
window_0.8,equal_gate,100000,0.05,zne_quadratic,17,17,0.07771957631844098,0.07628195397735568,0.05695633146918431,0.10238124585495793,0.08161753814491367,0.0777991460724375,6.665908105006531e-05,0,0,0,0,18133696,6960000000,3361129536
window_0.8,equal_gate,100000,0.05,sv,17,17,0.09073487821938168,0.09112392203056414,0.0674935039379855,0.11644978810171389,0.09480458440163893,0.09075865219993093,4.3476961224708704e-05,0,0,0,0,54400000,6960000000,10286290432
window_0.8,equal_gate,300000,0,raw,17,17,0.00010575959671953151,9.059120359614174e-05,3.852222233869445e-05,0.00020380929736644988,3.221817138766404e-07,0.00010517059644542605,3.2218171387664417e-07,0,0,0,0,163198912,20879860800,30249398336
window_0.8,equal_gate,300000,0,zne_quadratic,17,17,0.00012122375868432542,0.00011056859131483171,6.004913519905292e-05,0.00021388942006815925,1.4671838940570241e-05,0.00010517059644542611,1.4671838940570263e-05,0,0,0,0,54400000,20879860800,10083195648
window_0.8,equal_gate,300000,0,sv,17,17,0.00010805728802461249,9.363851854063804e-05,4.08944154408257e-05,0.0002032620070595231,3.029057413355047e-06,0.00010517059644542622,3.029057413354998e-06,0,0,0,0,163198912,20879860800,30858673984
