method,n,kappa,h,region,seeds,joint_pass_runs,observable_pass_runs,state_pass_runs,candidate_pool_exists_runs,at_least_two_joint,all_three_joint,at_least_two_observable,median_fidelity,worst_fidelity,median_cnots,minimum_energy_delta_per_site,median_energy_delta_per_site,source_archives
C0,8,0.283,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999989969826925,0.9999989969681976,63.0,2.419605569237149e-07,2.5803793923806495e-07,"['results/stage6_v1/domain_wall_candidates/cache/ec460732c18988248525d1a0c27f343467927bee0ad5b6ce1b69765a5f04fb3f.npz', 'results/stage6_v1/domain_wall_candidates/cache/5ca61bc4dba8b209a10b8de44e7714a8818aad68366ecaa7ddc58985900b9007.npz', 'results/stage6_v1/domain_wall_candidates/cache/69d88988013df9ea469fc9a0e212895abdd01bfa9ece5fa6b275efedb693d327.npz']"
C0,8,0.443,0.013,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999999962820563,0.9999999962017856,63.0,4.840136069717005e-10,6.079005077097577e-10,"['results/stage6_v1/domain_wall_candidates/cache/15d10d9059c722732629732f4b1099a3e55a15f5dc13fd58e8a60808458610df.npz', 'results/stage6_v1/domain_wall_candidates/cache/3d56a574b42bf3645dc46ac085eec789a6a1edea0f2878284ec403535d869455.npz', 'results/stage6_v1/domain_wall_candidates/cache/09be21693b2f3193775b6984132e83139b19fbd2c5ccdac7be9dbbd2acb5fb3e.npz']"
C0,8,0.459,0.044,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999654571943284,0.9999654139775602,63.0,9.629655558507366e-07,9.709583935757493e-07,"['results/stage6_v1/domain_wall_candidates/cache/4e5506ae4b2dbd9a05efdf282cbe80d5d73c10ad4dc771742295464a7052a420.npz', 'results/stage6_v1/domain_wall_candidates/cache/6c341a25c2dce29ab1f2e5c8760424dc1aaf9594575d6fce3530bb808d95e1cf.npz', 'results/stage6_v1/domain_wall_candidates/cache/df047d5a502324a790e724f5a0df98489590ad8a3c3176f5e551745f40efe3de.npz']"
C0,8,0.4757,0.093,low_field,"[631, 743, 857]",0,0,1,0,False,False,False,0.9692541941918061,0.9632658657292542,128.0,0.0007019978390201409,0.0014274422529755304,"['results/stage6_v1/domain_wall_candidates/cache/45fdd902f2a3575bc442527b0f832f5a444f2dc48fbb9f5738093ed4ef63f254.npz', 'results/stage6_v1/domain_wall_candidates/cache/2ad7c73c08f1b960fce03c513d9a2ebdbc37fa2ed7fd064fca8c82d6c8993bde.npz', 'results/stage6_v1/domain_wall_candidates/cache/46ebafe12e22deb9e54a9de3a2fe10388ca171a3d53ffc503921ac2c8f93050b.npz']"
C0,8,0.507,0.013,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9998583926509027,0.999857717252043,64.0,2.8090924419910124e-07,2.8093240045379275e-07,"['results/stage6_v1/domain_wall_candidates/cache/1772ddb53f0878556f37cdbb5bf62828adfa10d6849a1b51915112ab360b1272.npz', 'results/stage6_v1/domain_wall_candidates/cache/51239f04bb47a0d54c7f7bbecd4c50b6d15a9dd930c5817a78bb0204e1edcda1.npz', 'results/stage6_v1/domain_wall_candidates/cache/c00ca57fc43764d8ecc259aa90469df07c0d12105da22d7dc17fefd1258134ce.npz']"
C0,8,0.523,0.044,low_field,"[631, 743, 857]",3,3,3,3,True,True,True,0.9984460342055665,0.998440078189908,128.0,7.664879190016904e-06,7.743473303567505e-06,"['results/stage6_v1/domain_wall_candidates/cache/7b2e5fbc872aa4009098ac98edeaffaf969dc63864682e2fc85a624f9052e4b8.npz', 'results/stage6_v1/domain_wall_candidates/cache/d8c2726e69cc0ec5764afe7276aca85f57bac9c781765399ce21772d36f10e75.npz', 'results/stage6_v1/domain_wall_candidates/cache/b9556a6922d4c7a822624655bc35588f13532f940cd3a8d1a09161a4f8c8f238.npz']"
C0,8,0.539,0.093,low_field,"[631, 743, 857]",0,0,0,0,False,False,False,0.666593083995505,0.6665575333657836,128.0,0.0007575655389222558,0.0007575657181814188,"['results/stage6_v1/domain_wall_candidates/cache/96b39a4002d03f7ff142cb6675bf696d23505394b84e275125fc12e6c1829fd8.npz', 'results/stage6_v1/domain_wall_candidates/cache/c67b7d144a016b2d2335da1953d4cb35081bd21f3b35ee101b4359ab74f43eb9.npz', 'results/stage6_v1/domain_wall_candidates/cache/9db90a26a62c44869177528d09fc7c96209a8937e34b89433b1c0c5e44772a91.npz']"
C0,8,0.663,0.235,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9979534192105558,0.9979529029367845,128.0,0.00018909516038490004,0.0001890957029708762,"['results/stage6_v1/domain_wall_candidates/cache/6d5506a9d75ba2e38564a564ed1b36c9583200a1e0cd0c0b627bc3ef95a25d77.npz', 'results/stage6_v1/domain_wall_candidates/cache/ca1cb6355b792bdbae85633c4336b10292d79572d87e8273dd19eb7ee544ecc1.npz', 'results/stage6_v1/domain_wall_candidates/cache/c3645b50902ed56f74e31fad9c0d0dfc00c5c27f2c9a0671c16dec5c88c1fa96.npz']"
C0,8,0.683,0.085,interior,"[631, 743, 857]",3,3,3,3,True,True,True,0.9999990550702357,0.9999990410174123,128.0,1.7821432762854528e-07,1.8047314043201368e-07,"['results/stage6_v1/domain_wall_candidates/cache/6faeffb1baebddca32577d28e995be05f11275c7a093b4492329a7a5054b33f5.npz', 'results/stage6_v1/domain_wall_candidates/cache/742c68f70da4e01e0ef8f25e6335208177fa975ab3ae46eb465b23c29e2d34e0.npz', 'results/stage6_v1/domain_wall_candidates/cache/b55842cbd0b29721127dc48f1b8fe0cf750e12f4437d8bed7a0905a23728c2fa.npz']"
C0,8,0.763,0.375,antiphase_band,"[631, 743, 857]",3,3,3,3,True,True,True,0.9971813710082627,0.9971812223658446,128.0,0.00045611753042551495,0.0004820576821463751,"['results/stage6_v1/domain_wall_candidates/cache/806a7f3084afb3fdbdd990920e4178c54a35a83ecdde644e5f80c05ba0c6efed.npz', 'results/stage6_v1/domain_wall_candidates/cache/268546f23059118fd1ce976a76b4871c8788c5c9611d913ccbe92defa9228ccd.npz', 'results/stage6_v1/domain_wall_candidates/cache/b1f8c87debf368b2c41122456a40c8d76b6c7cee60f2f67e20a1f1cca6bdde94.npz']"
