kappa,L,p,feature,h,value,derivative,preparation_failed,branch_switch,branch_checked,branch_sensitive
0.0,4,0.01,order,0.2,0.4247830825974426,0.031111107169468077,False,False,False,
0.0,4,0.01,order,0.25,0.42303591304341254,0.038935901476681245,False,False,False,
0.0,4,0.01,order,0.3,0.42088949244977447,0.04715785670161132,False,False,False,
0.0,4,0.01,order,0.35,0.4183201273732514,0.055971120560560195,False,False,False,
0.0,4,0.01,order,0.4,0.4152923803937184,0.06565949814888583,False,False,False,
0.0,4,0.01,order,0.45,0.41175417755836285,0.07664091224406278,False,False,False,
0.0,4,0.01,order,0.5,0.40762828916931215,0.08949690882785877,False,False,False,
0.0,4,0.01,order,0.55,0.4028044866755769,0.10496875468796674,False,False,False,
0.0,4,0.01,order,0.6,0.3971314137005154,0.12389272645975691,False,False,False,
0.0,4,0.01,order,0.65,0.3904152140296012,0.14701607644978765,False,False,False,
0.0,4,0.01,order,0.7,0.38242980605553656,0.17460415208867763,False,False,False,
0.0,4,0.01,order,0.75,0.3729547988207335,0.2059315418988148,False,False,False,
0.0,4,0.01,order,0.8,0.36183665186565506,0.2387888315733342,False,False,False,
0.0,4,0.01,order,0.85,0.3490759156634,0.2694319682344122,False,False,False,
0.0,4,0.01,order,0.9,0.3348934550422139,0.2935126750462351,False,False,False,
0.0,4,0.01,order,0.95,0.31972464815877644,0.31323960029126496,False,False,False,
0.0,4,0.01,order,1.0,0.3800744659430958,,False,True,True,True
0.0,4,0.01,order,1.05,0.35981672130842013,0.40273675202234394,False,False,False,
0.0,4,0.01,order,1.1,0.3403564188769612,0.3756753452360133,False,False,False,
0.0,4,0.01,order,1.15,0.3222491867848189,0.34546655615905575,False,False,False,
0.0,4,0.01,order,1.2,0.3058097632610557,0.3112074521655024,False,False,False,
0.0,4,0.01,order,1.25,0.2911284415682686,0.2766602449007447,False,False,False,
0.0,4,0.01,order,1.3,0.2781437387709812,0.24416588437980824,False,False,False,
0.0,4,0.01,order,1.35,0.2667118531302878,0.21484754815596174,False,False,False,
0.0,4,0.01,order,1.4,0.2566589839553851,0.1890952038750644,False,False,False,
0.0,4,0.01,order,1.45,0.24780233274278135,0.16681143125582976,False,False,False,
0.0,4,0.01,order,1.5,0.23997784082980209,0.1476499785756209,False,False,False,
0.0,4,0.01,order,1.55,0.23303733488521927,0.13124614028316817,False,False,False,
0.0,4,0.01,order,1.6,0.22685322680148529,0.11714237477457212,False,False,False,
0.0,4,0.01,order,1.65,0.22132309740776207,0.10504270356939038,False,False,False,
0.0,4,0.01,order,1.7,0.21634895644454624,0.09466748845849082,False,False,False,
0.0,4,0.01,order,1.75,0.211856348561913,0.08569419782818333,False,False,False,
0.0,4,0.01,order,1.8,0.2077795366617279,0.07808619623879443,False,False,False,
0.0,4,0.01,order,1.85,0.20404772893803352,0.07104200092027435,False,False,False,
0.0,4,0.01,order,1.9,0.2006753365697005,0.06512789372641192,False,False,False,
0.0,4,0.01,order,1.95,0.1975349395653923,0.060113417045812634,False,False,False,
0.0,4,0.01,order,2.0,0.19466399486511923,0.0547243709651104,False,False,False,
0.0,4,0.01,mx,0.05,-4.821896472298411e-05,0.2164640768080614,False,False,False,
0.0,4,0.01,mx,0.1,0.010793753163881054,0.21721480833610007,False,False,False,
0.0,4,0.01,mx,0.15,0.02167326186888702,0.21816982444379834,False,False,False,
0.0,4,0.01,mx,0.2,0.03261073560826089,0.21955479784952714,False,False,False,
0.0,4,0.01,mx,0.25,0.04362874165383974,0.22144256049213595,False,False,False,
0.0,4,0.01,mx,0.3,0.054754991657474474,0.22397298412481714,False,False,False,
0.0,4,0.01,mx,0.35,0.06602604006632144,0.22736819439179368,False,False,False,
0.0,4,0.01,mx,0.4,0.07749181109665385,0.231951471309905,False,False,False,
0.0,4,0.01,mx,0.45,0.08922118719731195,0.23816889855645929,False,False,False,
0.0,4,0.01,mx,0.5,0.10130870095229977,0.24656640696204157,False,False,False,
0.0,4,0.01,mx,0.55,0.11387782789351611,0.25773807897665746,False,False,False,
0.0,4,0.01,mx,0.6,0.1270825088499655,0.27218915288982926,False,False,False,
0.0,4,0.01,mx,0.65,0.14109674318249907,0.29010437140735346,False,False,False,
0.0,4,0.01,mx,0.7,0.1560929459907008,0.31096102423807026,False,False,False,
0.0,4,0.01,mx,0.75,0.17219284560630613,0.33317312537250543,False,False,False,
0.0,4,0.01,mx,0.8,0.18941025852795138,0.35387822339528263,False,False,False,
0.0,4,0.01,mx,0.85,0.20758066794583438,0.36914222781819506,False,False,False,
0.0,4,0.01,mx,0.9,0.22632448130977087,0.374885391511655,False,False,False,
0.0,4,0.01,mx,0.95,0.24506920709699986,0.37490363997750453,False,False,False,
0.0,4,0.01,mx,1.0,0.501036791145641,,False,True,True,True
0.0,4,0.01,mx,1.05,0.5206671607830063,0.37990162596058674,False,False,False,
0.0,4,0.01,mx,1.1,0.5388009304032061,0.3454491588473978,False,False,False,
