L,p,h,m_pi2,strongest_other,other_q_over_pi,competing_excess,near_peaks,preparation_failed
4,0.01,1.5,0.15962632727877457,0.14405582251687313,0.25,-0.015570504761901444,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.14405582251687313, ""gap_from_max"": 0.015570504761901444, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15962632727877457, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.55,0.15843811917769846,0.14380754225220482,0.25,-0.014630576925493632,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.14380754225220482, ""gap_from_max"": 0.014630576925493632, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15843811917769846, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.6,0.15744346601188003,0.14363840540237333,0.25,-0.013805060609506703,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.14363840540237333, ""gap_from_max"": 0.013805060609506703, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15744346601188003, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.65,0.15637500604778534,0.14333745546699017,0.25,-0.01303755058079517,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.14333745546699017, ""gap_from_max"": 0.01303755058079517, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15637500604778534, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.7,0.15549550413995367,0.14313779532979562,0.25,-0.012357708810158047,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.14313779532979562, ""gap_from_max"": 0.012357708810158047, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15549550413995367, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.75,0.15467362054093867,0.14293523864466973,0.25,-0.01173838189626894,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.14293523864466973, ""gap_from_max"": 0.01173838189626894, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15467362054093867, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.8,0.15380069203071456,0.14263886125518463,0.25,-0.01116183077552993,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.14263886125518463, ""gap_from_max"": 0.01116183077552993, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15380069203071456, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.85,0.15306349721771761,0.1424207118444016,0.25,-0.010642785373316005,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.1424207118444016, ""gap_from_max"": 0.010642785373316005, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15306349721771761, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.9,0.1523698908969926,0.1422048347192538,0.25,-0.010165056177738802,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.1422048347192538, ""gap_from_max"": 0.010165056177738802, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.1523698908969926, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
4,0.01,1.95,0.15171728677894677,0.1419917965894312,0.25,-0.009725490189515573,"[{""k"": 1, ""partner_k"": 7, ""q_over_pi"": 0.25, ""value"": 0.1419917965894312, ""gap_from_max"": 0.009725490189515573, ""unique_global_max"": false}, {""k"": 2, ""partner_k"": 6, ""q_over_pi"": 0.5, ""value"": 0.15171728677894677, ""gap_from_max"": 0.0, ""unique_global_max"": false}]",False
