task,n,kappa,h,method,region,joint_pass,observable_pass,state_pass,candidate_checkpoint_exists,all_saved_growth_or_probe_exists,random_restart_runs,random_restart_pass,warm_continuations,warm_pass,oracle_runs,oracle_pass,actual_stop,cnots,delta_e,fidelity,tags,source
development,8,0.475,0.05,C2,difficult,True,True,True,True,True,0,0,0,0,0,0,parameter_cap160,63,1.4254280178427337e-07,0.999992787865781,selected_pass,results/stage6_v1/domain_wall_candidates/cache/5fc64a334564e05d80aeacc1caa8f042b4949a425d803d79dcd933b4cb0c855c.npz
development,8,0.475,0.05,C3,difficult,True,True,True,True,True,3,3,1,1,1,1,energy_stagnation,63,1.9908495740850185e-07,0.9999867509098408,selected_pass,results/stage6_v1/domain_wall_candidates/cache/0eb76a4a1db5dcc34d74e7b57fab283de027b08033ef1b234ff7bb4efbbedb11.npz
development,8,0.475,0.05,H6,difficult,True,True,True,True,,0,0,0,0,0,0,energy_stagnation,63,1.9908495740850185e-07,0.9999867509098408,selected_pass,results/stage6_v1/domain_wall_candidates/cache/0eb76a4a1db5dcc34d74e7b57fab283de027b08033ef1b234ff7bb4efbbedb11.npz
development,8,0.475,0.05,B3,difficult,True,True,True,True,,3,3,1,1,1,1,pool_gradient,31,4.442622894074155e-05,0.9919541250571311,selected_pass,results/stage6_v1/legacy_b3/adaptive/cache/dd738fa37bc11e23b7a961c515d4a1c08886f85ea795f3a8336e4f6447af5c98.npz
development,8,0.5,0.01,C0,difficult,False,False,False,False,False,0,0,0,0,0,0,budget,128,0.0004422759625188899,0.7078836546607885,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/12ba596d9ee6550a32cbe72366d369bf6d66c0aab5f6ba6176dbf83de610c51e.npz
development,8,0.5,0.01,C1,difficult,False,False,False,False,False,0,0,0,0,0,0,budget,127,0.0002567725658435549,0.8736280038783376,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/4a5f57e248342fe8e859407775a533442b43488561540caafb1d71cfc78ef923.npz
development,8,0.5,0.01,C2,difficult,False,False,True,False,False,0,0,0,0,0,0,energy_stagnation,127,3.3867437291945635e-05,0.9948424433660318,still_uncertain,results/stage6_v1/domain_wall_candidates/cache/774a17e41fafb8236e2099208b579111b0efee3189b6e2060a68260a073e9bef.npz
development,8,0.5,0.01,C3,difficult,True,True,True,True,True,3,0,1,1,1,1,parameter_cap160,127,1.0586067920481668e-05,0.9984123656795912,selected_pass,results/stage6_v1/domain_wall_candidates/cache/18d8718c1bd0b36df7872d85c781dfb161e89167694cad80df2cb6f13fa5a602.npz
development,8,0.5,0.01,H6,difficult,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,127,1.0586067920481668e-05,0.9984123656795912,selected_pass,results/stage6_v1/domain_wall_candidates/cache/18d8718c1bd0b36df7872d85c781dfb161e89167694cad80df2cb6f13fa5a602.npz
development,8,0.5,0.01,B3,difficult,False,False,False,False,,3,0,1,0,1,0,budget,128,0.0003973684319094062,0.7462537592976138,bounded_oracle_failed_not_mathematical_inexpressivity;recorded_resource_cap_reached,results/stage6_v1/legacy_b3/adaptive/cache/481a9d6fae270d42b415d5eb5dde611b3cd33acd679a1c0ab0dae0d547a87c8f.npz
development,8,0.5,0.075,C0,difficult,False,True,False,False,False,0,0,0,0,0,0,budget,128,0.0006629013520749183,0.98974681788203,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/c1c59221721670e6721c86054cacc851feb158f89626001edc84306bde94121e.npz
development,8,0.5,0.075,C1,difficult,True,True,True,True,True,0,0,0,0,0,0,budget,127,0.0005381629585055059,0.9914786496900355,selected_pass,results/stage6_v1/domain_wall_candidates/cache/58a5b418df3121dc261bc3f89344fd0617796c2cfd69ffcfbfc7fbdd76f8d513.npz
development,8,0.5,0.075,C2,difficult,True,True,True,True,True,0,0,0,0,0,0,energy_stagnation,127,8.691847914543693e-05,0.9986928361073204,selected_pass,results/stage6_v1/domain_wall_candidates/cache/2039c62a6c5410ff9091e6be585ea2d7064002dfe122633be4ba25ea490f2490.npz
development,8,0.5,0.075,C3,difficult,True,True,True,True,True,3,0,1,1,1,1,parameter_cap160,127,5.74776035806579e-05,0.9989333377528739,selected_pass,results/stage6_v1/domain_wall_candidates/cache/ad4ab466d2ecacf356ad576160f9ee2afcdb6ea6efd6c5799977116886787022.npz
development,8,0.5,0.075,H6,difficult,True,True,True,True,,0,0,0,0,0,0,parameter_cap160,127,5.74776035806579e-05,0.9989333377528739,selected_pass,results/stage6_v1/domain_wall_candidates/cache/ad4ab466d2ecacf356ad576160f9ee2afcdb6ea6efd6c5799977116886787022.npz
development,8,0.5,0.075,B3,difficult,False,False,False,False,,3,0,1,0,1,0,budget,128,0.0014681588392762013,0.978558988362324,bounded_oracle_failed_not_mathematical_inexpressivity;recorded_resource_cap_reached,results/stage6_v1/legacy_b3/adaptive/cache/2cd2986056150ee5331e01b2d4e382bddc2b92897b4331c741fe120a45d0667f.npz
development,8,0.5,0.1,C0,difficult,False,False,False,False,False,0,0,0,0,0,0,budget,128,0.0006072872239379912,0.9872614760862304,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/94c8a4dd1d7e9ead29fbe4772e0953b510078e4a1946a94b33a2a7bd551ec03e.npz
development,8,0.5,0.1,C1,difficult,False,False,False,False,False,0,0,0,0,0,0,budget,127,0.0009833350954749909,0.9862295274863241,recorded_resource_cap_reached,results/stage6_v1/domain_wall_candidates/cache/4e3044ec938f028bd81628e6a855d4e01aa6d950949355d110e81db4d448130b.npz
development,8,0.5,0.1,C2,difficult,True,True,True,True,True,0,0,0,0,0,0,energy_stagnation,127,0.00016137449707764873,0.9985495842894702,selected_pass,results/stage6_v1/domain_wall_candidates/cache/a1abb8dca30a3ae263810dee2068d08a9559fac2af2e17538daf9d8773dc614a.npz
