method,kappa,h,p,new_pass,old_pass,common_pass,new_cnots,old_cnots,epsilon_c_new,epsilon_c_old,epsilon_sf_new,epsilon_sf_old,epsilon_mx_new,epsilon_mx_old
B3,0.35,0.1,0,True,True,True,31,192,0.00032281716933602045,1.1099613114184947e-06,0.0002473642025038192,4.883468631700083e-07,0.0009744505362536682,2.788075187193373e-06
B3,0.35,0.2,0,True,True,True,95,192,0.0038885059518304343,3.8727071819288916e-05,0.002615270788502766,1.7143898140448144e-05,0.0036180168089901543,1.5736851819936337e-05
B3,0.35,0.3,0,True,True,True,96,192,0.004572896750706157,0.00011144745326963079,0.0020800432758942833,3.954531583183485e-05,0.0005736795682700357,4.695599197013234e-05
B3,0.35,0.4,0,True,True,True,96,192,0.008503805070040393,0.00208668828973671,0.005872799976642584,0.0011191082180058154,0.0027347901630891958,0.0003129174589501238
B3,0.35,0.5,0,True,True,True,127,192,0.012309090732784946,0.005392595093772573,0.005391994501474318,0.0021888910083879276,0.00020866362934846006,9.947580771629827e-05
B3,0.35,0.6,0,True,True,True,127,192,0.009001013005605574,0.0035819810183844586,0.003636634200298805,0.0014094069356072048,0.00018338682091845193,9.400363113154508e-05
B3,0.35,0.7,0,True,True,True,96,192,0.005717467250045322,0.0021136834460614567,0.002055298095130914,0.0007900013438144893,0.0003272165256129611,9.449230171088008e-05
B3,0.35,0.8,0,True,True,True,95,192,0.0054921093663025805,0.0011672396549954611,0.0023277996730789174,0.00041074031882212814,0.00032189500542301186,6.531568456213943e-05
B3,0.35,0.9,0,True,True,True,95,192,0.001814953622883142,0.0006482024355083105,0.0006271174056334539,0.0002177346403658964,0.00012560984538856346,3.766999927112824e-05
B3,0.35,1.0,0,True,True,True,95,192,0.0018772595444559448,0.0003473532543045166,0.0006761429730724744,0.00011527175950001856,0.00014471811106953059,2.1121768929655005e-05
B3,0.35,1.1,0,True,True,True,95,192,0.0024593813890733257,0.0001834751138315993,0.0008085227128110106,6.12857579068149e-05,0.00014269348735407306,1.1145174074966846e-05
B3,0.35,1.2,0,True,True,True,64,192,0.0054479646576712365,0.0001006349909966342,0.0017691853699186577,3.4577507820404696e-05,0.0003120452938848439,6.154591522200548e-06
