n,kappa,h,ref,seed,method,cnots,delta_e,fidelity,joint_pass
8,0.7,0.8,antiphase,11,cost,128,0.000778561710949699,0.9990703730863827,True
8,0.7,0.8,antiphase,11,cost,128,0.000778561710949699,0.9990703730863827,True
8,0.45,0.15,antiphase,37,fixed,6,0.12172680403016128,0.00048412150083379453,False
8,0.45,0.15,antiphase,37,fixed,22,0.12172680403016123,0.00048412150083379437,False
12,0.3,0.4,antiphase,11,cost,10,0.4637644421345281,3.0490125897488175e-06,False
12,0.3,0.4,antiphase,11,cost,32,0.3370847341808243,0.006974834726941306,False
12,0.3,0.4,antiphase,11,cost,64,0.0487132997993475,0.04508176410497866,False
12,0.3,0.4,antiphase,11,cost,96,0.035139409481572535,0.06537601272193978,False
12,0.3,0.4,antiphase,11,cost,128,0.03340883154379378,0.0563965414919524,False
12,0.3,0.4,antiphase,11,cost,128,0.03340883154379378,0.0563965414919524,False
8,0.8,0.8,antiphase,11,cost,6,0.2865110832348605,0.2505289620486456,False
8,0.8,0.8,antiphase,11,cost,16,0.1739918987931388,0.42486524836435885,False
8,0.8,0.8,antiphase,11,cost,32,0.03958145041666894,0.8383695852015352,False
8,0.8,0.8,antiphase,11,cost,64,0.0074096854759879704,0.9820291784124038,False
8,0.8,0.8,antiphase,11,cost,128,0.0008844196395401127,0.9988202817706114,True
8,0.8,0.8,antiphase,11,cost,128,0.0008844196395401127,0.9988202817706114,True
8,0.15,1.0,plus,11,cost,0,0.2196808663279758,0.6393926627027671,False
8,0.15,1.0,plus,11,cost,16,0.01679361472651708,0.9441442537769004,False
8,0.15,1.0,plus,11,cost,32,0.005136447462039229,0.9794117825499514,False
8,0.15,1.0,plus,11,cost,64,0.0002321298797509641,0.9996137250191567,True
8,0.15,1.0,plus,11,cost,96,1.5033380440510058e-05,0.9999832691228747,True
8,0.15,1.0,plus,11,cost,128,1.2928198303008287e-06,0.9999988047407621,True
8,0.15,1.0,plus,11,cost,128,1.2928198303008287e-06,0.9999988047407621,True
8,0.15,0.9,antiphase,11,cost,6,0.9929379415134127,0.00362352278207196,False
8,0.15,0.9,antiphase,11,cost,16,0.6075220120612747,0.17950326499139171,False
8,0.15,0.9,antiphase,11,cost,32,0.3614393022753303,0.325854936643802,False
8,0.15,0.9,antiphase,11,cost,64,0.012160764078103403,0.9752206294969347,False
8,0.15,0.9,antiphase,11,cost,128,1.3811199069069247e-05,0.9999844080801276,True
8,0.15,0.9,antiphase,11,cost,128,1.3811199069069247e-05,0.9999844080801276,True
8,0.025,1.75,antiphase,11,cost,6,1.868210363706416,0.008647355457729015,False
8,0.025,1.75,antiphase,11,cost,16,0.5775177526995741,0.38729668567051945,False
8,0.025,1.75,antiphase,11,cost,32,0.026330053692684485,0.9649256256974982,False
8,0.025,1.75,antiphase,11,cost,64,8.74830580273045e-05,0.9999344337037523,True
8,0.025,1.75,antiphase,11,cost,96,8.276168559362418e-06,0.9999951212672711,True
8,0.025,1.75,antiphase,11,cost,128,7.586975678819385e-07,0.9999995879526715,True
8,0.025,1.75,antiphase,11,cost,128,7.586975678819385e-07,0.9999995879526715,True
