point,kappa,h,layers,n_runs,best_run,best_seed,best_joint_pass,observable_pass_count,state_pass_count,joint_pass_count,optimization_success_count,cnots,unitary_depth,energy_best_energy,median_energy,min_energy,max_energy,energy_best_delta_e,median_delta_e,min_delta_e,max_delta_e,energy_best_epsilon_c,median_epsilon_c,min_epsilon_c,max_epsilon_c,energy_best_epsilon_sf,median_epsilon_sf,min_epsilon_sf,max_epsilon_sf,energy_best_epsilon_mx,median_epsilon_mx,min_epsilon_mx,max_epsilon_mx,energy_best_fidelity,median_fidelity,min_fidelity,max_fidelity,energy_best_seconds,median_seconds,min_seconds,max_seconds
6,0.3,0.4,8,3,p06_L8_s23,23,True,1,2,1,0,256,297,-6.117256124993344,-6.110200863196431,-6.117256124993344,-6.0548528077493895,2.056187651588992e-06,0.0008839639122657506,2.056187651588992e-06,0.007802470843145892,4.621693043072028e-05,0.056492018717044346,4.621693043072028e-05,0.1745390586727874,2.9760835080328008e-05,0.03403323826192062,2.9760835080328008e-05,0.09961906494079398,2.5202158559389787e-05,0.019506714540104553,2.5202158559389787e-05,0.03666787724492082,0.9999974624431331,0.995339019033774,0.9567506760627565,0.9999974624431331,0.15148487500846386,0.15148487500846386,0.1511111670115497,0.15597037499537691
7,0.3,0.5,1,3,p07_L1_s37,37,False,0,0,0,3,32,38,-6.369291491300738,-6.3692914913007295,-6.369291491300738,-6.3692914913007295,0.016987856378318344,0.016987856378319455,0.016987856378318344,0.016987856378319455,0.35546265054880566,0.35546265061505533,0.35546265054880566,0.3554626510110655,0.23501622837940928,0.23501622842991732,0.23501622837940928,0.23501622867195848,0.1066184266179,0.10661842634340957,0.10661842399604804,0.1066184266179,0.8587804953887102,0.8587804953887102,0.8587804948021535,0.8587804954069219,0.0008896670187823474,0.0008896670187823474,0.0006357090023811907,0.0009847920155152678
7,0.3,0.5,2,3,p07_L2_s11,11,False,0,0,0,3,64,75,-6.44681167944314,-6.446811679443087,-6.44681167944314,-6.441926516392595,0.007297832860518105,0.007297832860524767,0.007297832860518105,0.00790847824183627,0.27742798366167837,0.27742819518146794,0.27742798366167837,0.36033435984214873,0.17760500374316923,0.1776050437122712,0.17760500374316923,0.2296596196062668,0.078459836293303,0.078459836293303,0.0784597607203198,0.09764717489012298,0.9115366857906475,0.9115366346890693,0.9096236909029629,0.9115366857906475,0.008360583015019074,0.005040499992901459,0.0038219999987632036,0.008360583015019074
7,0.3,0.5,4,3,p07_L4_s37,37,False,0,3,0,2,128,149,-6.501820317488664,-6.4995923904007435,-6.501820317488664,-6.495449439369879,0.00042175310482761574,0.000700243990817695,0.00042175310482761574,0.0012181128696757693,0.03411986789349081,0.05747988388695835,0.03411986789349081,0.08664166776418714,0.022453919356078655,0.036905871000545876,0.022453919356078655,0.05787243392665875,0.010516741079029002,0.016395775313990724,0.010516741079029002,0.02692782481599787,0.998007667262362,0.9960800418584959,0.9907741339159132,0.998007667262362,0.08550304101663642,0.05466104199877009,0.047927542007528245,0.08550304101663642
7,0.3,0.5,6,3,p07_L6_s37,37,True,2,3,2,0,192,223,-6.504573920312671,-6.504122995791008,-6.504573920312671,-6.502387238892108,7.755275182674826e-05,0.00013391831703468693,7.755275182674826e-05,0.00035088792939719227,0.011566151263918245,0.015780104366024394,0.011566151263918245,0.034465363660319215,0.007170537238473607,0.009815131822642709,0.007170537238473607,0.022114885708371612,0.002998015023435552,0.004353903576934104,0.002998015023435552,0.010049210091259475,0.9997341236713841,0.999516129615303,0.998027330872215,0.9997341236713841,0.11609779199352488,0.1162051249993965,0.11609779199352488,0.11658391598029993
8,0.3,1.2,1,3,p08_L1_s23,23,False,0,3,0,3,32,38,-10.935274306931035,-10.935274306931031,-10.935274306931035,-10.935274306931026,0.004104209844682627,0.004104209844683071,0.004104209844682627,0.004104209844683737,0.041346794891051385,0.041346794891051385,0.04134679472279485,0.041346794919885056,0.014949170580834892,0.014949170673320328,0.014949170580834892,0.014949171667096445,0.005178842813272522,0.005178841647822896,0.005178830281363678,0.005178842813272522,0.9922557337542284,0.9922557334462561,0.9922557327889308,0.9922557337542284,0.0008419170044362545,0.0011559590057004243,0.0008419170044362545,0.0017034160264302045
8,0.3,1.2,2,3,p08_L2_s23,23,False,0,3,0,3,64,75,-10.961676890766658,-10.961676890766128,-10.961676890766658,-10.961072297124677,0.0008038868652298081,0.0008038868652959774,0.0008038868652298081,0.0008794610704774275,0.03974839708590938,0.03974840727178542,0.03974839708590938,0.0418442855623831,0.015663591611374705,0.015663616458342522,0.015663591611374705,0.019767424961272873,0.0010587567769839712,0.001058688964097998,0.0002551776951732476,0.0010587567769839712,0.9981009671584539,0.9981009666471834,0.9977677954410713,0.9981009671584539,0.007365208002738655,0.010371250013122335,0.007365208002738655,0.011128832993563265
8,0.3,1.2,4,3,p08_L4_s23,23,True,3,3,3,1,128,149,-10.967945829586624,-10.967943965127255,-10.967945829586624,-10.96735084459532,2.0269512734039097e-05,2.0502570155178645e-05,2.0269512734039097e-05,9.464263664704653e-05,0.0013601183279228005,0.0016536924763032729,0.0013601183279228005,0.005966450901850384,0.0004094272169191393,0.0005132952191314322,0.0004094272169191393,0.002632176846788209,9.691074177897718e-05,9.691074177897718e-05,8.671453596431622e-05,0.00027463971401520126,0.9999846093755825,0.9999827361124298,0.9998939769264469,0.9999846093755825,0.08648274998995475,0.08648274998995475,0.06587758398381993,0.08969266602071002
8,0.3,1.2,6,3,p08_L6_s11,11,True,3,3,3,0,192,223,-10.968034937688046,-10.96800979164782,-10.968034937688046,-10.96800894716127,9.131000056283867e-06,1.2274255084543384e-05,9.131000056283867e-06,1.2379815903296176e-05,0.00033997801984429754,0.001097294349598807,0.00033997801984429754,0.0020092941990966368,0.00010299060336632637,0.0004134610385549409,0.00010299060336632637,0.0005178861528136736,3.0594698159691625e-05,3.0594698159691625e-05,1.842738402502153e-05,4.555949291351613e-05,0.9999926474985085,0.9999893405935926,0.9999876402516737,0.9999926474985085,0.11516829099855386,0.11516829099855386,0.11427704198285937,0.11892137498944066
9,0.8,0.2,1,3,p09_L1_s23,23,False,0,0,0,3,32,38,-4.497110058889508,-4.497110058889504,-4.497110058889508,-4.497110058889502,0.2507272678140775,0.25072726781407795,0.2507272678140775,0.25072726781407817,0.8760755259236503,0.8760755259236503,0.8760755213894271,0.8760755259497227,0.27170437835898054,0.2717043782610078,0.2717043752364602,0.27170437835898054,0.5679001865748494,0.5679001865748494,0.5679001742982484,0.5679001874063233,0.23678038986061195,0.23678038986061195,0.2367803898489285,0.2367803965316588,0.0008576250111218542,0.0008576250111218542,0.000782959017669782,0.0012984999921172857
