run_id,point,kappa,h,layers,seed,initialization_source,started_utc,fingerprint,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,parameters,cnots,high_level_gates,compiled_unitary_gates,unitary_depth,depth_with_channels,archive_sha256
p02_L4_s11,2,0,1.0,4,11,independent_uniform,2026-09-22T03:41:34.320800+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.156588603588379,160,182,182,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.882902509306675e-05,0.03273195802466944,-10.251661790966029,0.011884148422206309,0.9644990889680193,0.18933645320012693,0.12258608258338843,0.07488131769830475,0.7156101796336818,False,False,False,12,128,104,232,149,245,25ee14915fc7f3dbdcad0c4e71a9eef2ebc6defb08f261b0bc3b78cb1ce505e7
p02_L4_s23,2,0,1.0,4,23,independent_uniform,2026-09-22T03:41:34.357620+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.213709144458083,107,127,127,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.810650594133108e-06,0.02274754099198617,-10.251661790966029,0.004744080813493312,0.9880348367457965,0.09981635902878039,0.06258304522704505,0.03654646953192442,0.6772753314673015,False,False,False,12,128,104,232,149,245,9976ae689dc265cb56e5d54886e2c7913df98986c3f6f928d1ca599bc109f816
p02_L4_s37,2,0,1.0,4,37,independent_uniform,2026-09-22T03:41:34.384408+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.22680669339022,209,238,238,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2079941667408889e-05,0.04280725002172403,-10.251661790966029,0.0031068871969761602,0.9944368566271534,0.053139902251353954,0.03685879532215286,0.024211216500079957,0.664940078435457,False,True,False,12,128,104,232,149,245,baf64c648358a171441ed98e5d40c697a49a83fe19dc1fbf435b880b795be49f
p02_L6_s11,2,0,1.0,6,11,independent_uniform,2026-09-22T03:41:34.431413+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.251661374710634,400,456,456,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,0.0006398631830943913,0.11989516601897776,-10.251661790966029,5.203192432468029e-08,0.9999999481925466,7.35102887507999e-05,5.418478813679073e-05,4.257516697170338e-05,0.6406862867684053,True,True,True,18,192,152,344,223,367,52503be0c1a16c6dd5726393795e0e35062ca2ba03191bf8f0426dbbd476867b
p02_L6_s23,2,0,1.0,6,23,independent_uniform,2026-09-22T03:41:34.557658+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.21936256684746,400,435,435,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,0.0003330643801727762,0.11461212500580586,-10.251661790966029,0.004037403014821139,0.9918943064485986,0.08245369479952913,0.05051163772894873,0.028251320433996252,0.6689801823693733,False,True,False,18,192,152,344,223,367,fbcdc77c4796ea8ede474c0df03e7b6e003643a1aa353eb51428bb56ec6c2de2
p02_L6_s37,2,0,1.0,6,37,independent_uniform,2026-09-22T03:41:34.678694+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.24389859884193,400,426,426,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,0.0007614741634087707,0.10931108400109224,-10.251661790966029,0.0009703990155123243,0.9989052839507767,0.02089658416605622,0.01381143897579662,0.009144655901330956,0.649873517836708,False,True,False,18,192,152,344,223,367,3001db2b2cbccd8673c425efd5021b92cd22b0b36e906e39de1a50304c062afc
p02_L8_s11,2,0,1.0,8,11,results/calibration_v1/runs/p02_L6_s11.npz,2026-09-22T03:42:19.841250+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.25166161714758,291,313,313,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0041692951954246e-05,0.11049325001658872,-10.251661790966029,2.1727306176444472e-08,0.9999999804296223,2.1038945972273737e-05,7.246414813977253e-06,1.9668814921214306e-06,0.6407308288168692,True,True,True,24,256,200,456,297,489,6f9e4135d7f0f50cc99eb5d58a8ff8638dd23cc8eca8d513753069b35a0d3c87
p02_L8_s23,2,0,1.0,8,23,results/calibration_v1/runs/p02_L6_s23.npz,2026-09-22T03:42:19.960829+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.249621795262769,400,428,428,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,0.004415835927157552,0.1511512919969391,-10.251661790966029,0.0002549994629075236,0.9997757953287145,0.00655244982532166,0.0036873618442847533,0.002302196533927714,0.6430310584693048,True,True,True,24,256,200,456,297,489,935dcc38f1e2538fb7ac5e697cd2115654847e16da255fb8db23b0f534ca07f6
p02_L8_s37,2,0,1.0,8,37,results/calibration_v1/runs/p02_L6_s37.npz,2026-09-22T03:42:20.119848+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.24769150264909,400,427,427,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,0.010605977881416706,0.14750458300113678,-10.251661790966029,0.0004962860396173774,0.999518262433882,0.012646481813053667,0.008277679258584802,0.005205290403689666,0.6459341523390667,True,True,True,24,256,200,456,297,489,2222c651b66469cdb0a3c4f4c32466c1bd08dc0cc64d3f2df5a4a82335da11ad
p03_L1_s11,3,0,1.1,1,11,independent_uniform,2026-09-22T03:41:34.794470+00:00,c801c888d20466da9f44228c44681586e38ae6c48856416da8ac0e56c7cf6930,-10.54968571996924,13,21,21,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.189546380459433e-08,0.0013167090073693544,-10.79526767237469,0.030697744050681264,0.8743376692487115,0.3696344890131982,0.23598920599492135,0.11143062630560885,0.8270935594655862,False,False,False,3,32,32,64,38,62,3a980d902604302f518d413016b0d7d06a3f53ca5a0b95288e9425b50ab61a5a
