kind,inner_optimizer_calls,optimizer_success,selected_checkpoint_reason,n,kappa,h,ref,seed,budget,seconds,stop,nit,nfev,cnots,joint_pass,delta_e,fidelity,archive,raw_record,used_for_current_comparison,exit_message,energy
energy-only ADAPT campaign,87,True,budget_checkpoint_192,12,0.8,1.2,plus,11,192,57.15562187496107,budget,12568,13224,192,True,0.0009760572815655048,0.99812212402691,results/stage5_v1/adaptive/cache/f76bdf2778d5d3d79fca8e58351fd4ecfe17a6a20d94d38e307f9241fbda2574.npz,results/stage5_v1/adaptive/cache/f76bdf2778d5d3d79fca8e58351fd4ecfe17a6a20d94d38e307f9241fbda2574.json,,,
energy-only ADAPT campaign,60,False,budget_checkpoint_160,12,0.06117,0.441084,ghz,11,192,21.02206087502418,budget,5861,6300,159,True,4.5704785990530183e-05,0.9998027479936031,results/stage5_v1/adaptive/cache/fe258248ad4a45b0b9bf68c17c5cf62cae78529dd099b955c9d7b06201590c73.npz,results/stage5_v1/adaptive/cache/fe258248ad4a45b0b9bf68c17c5cf62cae78529dd099b955c9d7b06201590c73.json,,,
energy-only ADAPT campaign,43,True,budget_checkpoint_128,8,0.3,0.3125,ghz,11,128,2.8128952919505537,budget,4950,5303,127,True,1.949716680538227e-05,0.9999361167392451,results/stage5_v1/adaptive/cache/e24c71bdd9456eb15228b96ad79cc8c4095f9775c0418c8448ef32789f1b6ebc.npz,results/stage5_v1/adaptive/cache/e24c71bdd9456eb15228b96ad79cc8c4095f9775c0418c8448ef32789f1b6ebc.json,,,
energy-only ADAPT campaign,52,False,budget_checkpoint_96,8,0.605566,1.745167,antiphase,11,128,6.264541916956659,budget,9289,9804,96,True,6.495090195968167e-05,0.9999613599968273,results/stage5_v1/adaptive/cache/25030e1346a930c53c225faff6de1cbd9eabb33200ffea3fdbfb504a5339099e.npz,results/stage5_v1/adaptive/cache/25030e1346a930c53c225faff6de1cbd9eabb33200ffea3fdbfb504a5339099e.json,,,
energy-only ADAPT campaign,50,False,budget_checkpoint_96,8,0.3,0.575,ghz,11,128,2.9489329589996487,budget,5495,5867,95,True,2.9654225899733433e-05,0.9999397426449321,results/stage5_v1/adaptive/cache/d6e8ea1c8462d26773d652709de75519aa98606d4086d4351fd2b4cbd9b7de13.npz,results/stage5_v1/adaptive/cache/d6e8ea1c8462d26773d652709de75519aa98606d4086d4351fd2b4cbd9b7de13.json,,,
energy-only ADAPT campaign,83,False,budget_checkpoint_160,12,0.0,1.5,plus,11,192,94.77402141696075,budget,15745,16448,160,True,9.415853450948457e-05,0.9997690222829099,results/stage5_v1/adaptive/cache/a57b5c4c16249aa4c766eaac416bda282a1cb56e39187e7ec934fc9b108bf327.npz,results/stage5_v1/adaptive/cache/a57b5c4c16249aa4c766eaac416bda282a1cb56e39187e7ec934fc9b108bf327.json,,,
energy-only ADAPT campaign,85,False,budget_checkpoint_160,12,0.3,0.9,plus,11,192,81.77326154202456,budget,18239,19019,160,True,4.727477593036156e-05,0.9997866741653972,results/stage5_v1/adaptive/cache/307c070b6caddb137f313cf98815fea33f7c2b2dedadce6956f874b647e5d323.npz,results/stage5_v1/adaptive/cache/307c070b6caddb137f313cf98815fea33f7c2b2dedadce6956f874b647e5d323.json,,,
energy-only ADAPT campaign,85,True,budget_checkpoint_192,12,0.0,1.8,antiphase,11,192,37.575520999962464,budget,7401,7923,192,True,7.062081864835552e-05,0.9998821242734186,results/stage5_v1/adaptive/cache/e5078a3c97a70f63bc8d721df5fc0d932c6f83db21416c673e89663815818120.npz,results/stage5_v1/adaptive/cache/e5078a3c97a70f63bc8d721df5fc0d932c6f83db21416c673e89663815818120.json,,,
energy-only ADAPT campaign,46,True,budget_checkpoint_96,8,0.0,0.85,antiphase,11,128,1.88214295898797,energy_stagnation,2820,3048,96,True,2.8223365114543597e-05,0.9999689706722728,results/stage5_v1/adaptive/cache/ca666724092021b33bee823e36cd86e8dc4414bdbab7bc300757b21bf39a6b6f.npz,results/stage5_v1/adaptive/cache/ca666724092021b33bee823e36cd86e8dc4414bdbab7bc300757b21bf39a6b6f.json,,,
energy-only ADAPT campaign,31,True,budget_checkpoint_64,8,0.947711,0.150877,ghz,11,128,0.24606233299709857,energy_stagnation,574,695,63,False,5.1476447437415196e-05,0.5000863550987826,results/stage5_v1/adaptive/cache/ec49f74138f2c81e80489766d99d221b7853f598c5d8ce7659308e10189896be.npz,results/stage5_v1/adaptive/cache/ec49f74138f2c81e80489766d99d221b7853f598c5d8ce7659308e10189896be.json,,,
energy-only ADAPT campaign,84,False,budget_checkpoint_192,12,0.8,1.3,ghz,11,192,40.064873458992224,budget,11834,12464,191,True,0.0006025784372895396,0.9990870453572807,results/stage5_v1/adaptive/cache/062852c353baa41824b7ee0db9b360cc6987df0f4f425a0f152d81a10129861e.npz,results/stage5_v1/adaptive/cache/062852c353baa41824b7ee0db9b360cc6987df0f4f425a0f152d81a10129861e.json,,,
energy-only ADAPT campaign,82,True,budget_checkpoint_192,12,0.8,0.6,ghz,11,192,20.09669020801084,budget,6437,6934,191,False,0.007174734021801428,0.9214669368572511,results/stage5_v1/adaptive/cache/5eaafef9ba0f9a010ab6dc35d7ec53fbd5d038d1b08d40bbc385716cb5a1e05e.npz,results/stage5_v1/adaptive/cache/5eaafef9ba0f9a010ab6dc35d7ec53fbd5d038d1b08d40bbc385716cb5a1e05e.json,,,
energy-only ADAPT campaign,81,False,budget_checkpoint_192,12,0.8,0.4,ghz,11,192,40.77534441597527,budget,10526,11411,191,False,0.0009652485787026895,0.5012152510757808,results/stage5_v1/adaptive/cache/ff6db8e62c8e2fe8b9492fd993875522b237b53f83a34f1035519032b0178b90.npz,results/stage5_v1/adaptive/cache/ff6db8e62c8e2fe8b9492fd993875522b237b53f83a34f1035519032b0178b90.json,,,
energy-only ADAPT campaign,48,True,budget_checkpoint_128,8,0.8,0.6,ghz,11,128,2.2891455839853734,budget,4458,4783,127,False,0.00196016503556784,0.9948167599430503,results/stage5_v1/adaptive/cache/8e63cf531f918e8e3c35552154ca78434d465505d6eea1e454db04894ff330d8.npz,results/stage5_v1/adaptive/cache/8e63cf531f918e8e3c35552154ca78434d465505d6eea1e454db04894ff330d8.json,,,
energy-only ADAPT campaign,43,True,budget_checkpoint_96,8,0.0,0.875,plus,11,128,1.1277660420164466,pool_gradient,2025,2207,96,True,3.023732100593257e-05,0.9999660829454949,results/stage5_v1/adaptive/cache/ddc3cec5d8d5d5f3963e180c8427e5a6391042457fafb0c2f233e0dd83127360.npz,results/stage5_v1/adaptive/cache/ddc3cec5d8d5d5f3963e180c8427e5a6391042457fafb0c2f233e0dd83127360.json,,,
energy-only ADAPT campaign,37,True,budget_checkpoint_128,12,0.06117,0.441084,ghz,11,128,2.2681205000262707,budget,773,911,127,True,0.00015426087649128561,0.9992923186192745,results/stage5_v1/adaptive/cache/c77789e1871db88861caa8d8cfd626a9d0ba9e77a33c55432632f3655fa5905a.npz,results/stage5_v1/adaptive/cache/c77789e1871db88861caa8d8cfd626a9d0ba9e77a33c55432632f3655fa5905a.json,,,
energy-only ADAPT campaign,46,True,pool_gradient,8,0.0,0.8625,plus,11,128,1.595970332971774,pool_gradient,2189,2387,114,True,4.511810924867632e-10,0.9999999996212445,results/stage5_v1/adaptive/cache/9fbdabff6d8369aec09c672ace678b81f232dec7939a1bd7eb5353fc40e2954e.npz,results/stage5_v1/adaptive/cache/9fbdabff6d8369aec09c672ace678b81f232dec7939a1bd7eb5353fc40e2954e.json,,,
energy-only ADAPT campaign,63,True,budget_checkpoint_160,12,0.81745,0.365998,ghz,11,192,20.32443316699937,budget,6025,6479,159,False,0.000479197264872185,0.5002802777586857,results/stage5_v1/adaptive/cache/7afa29435b1eb7962bcfd5cd9306dcf7328bb8408b4d4d97f7fceca994c5d46e.npz,results/stage5_v1/adaptive/cache/7afa29435b1eb7962bcfd5cd9306dcf7328bb8408b4d4d97f7fceca994c5d46e.json,,,
energy-only ADAPT campaign,84,False,budget_checkpoint_160,12,0.3,1.2,ghz,11,192,61.92900716600707,budget,15668,16517,159,True,3.648173306055232e-05,0.999924110547787,results/stage5_v1/adaptive/cache/14ffebfd6e71d62406ca5628ffbea135892339a4d8183cfabffb4862af337496.npz,results/stage5_v1/adaptive/cache/14ffebfd6e71d62406ca5628ffbea135892339a4d8183cfabffb4862af337496.json,,,
energy-only ADAPT campaign,56,True,budget_checkpoint_128,8,0.41097,0.323522,antiphase,11,128,2.4063481659977697,budget,5396,5768,128,False,0.0009658001387109483,0.9944198585118647,results/stage5_v1/adaptive/cache/f2b6867945d1f5665691658c7b62e1bf1fdd9f01c70fad378428f051e0edb032.npz,results/stage5_v1/adaptive/cache/f2b6867945d1f5665691658c7b62e1bf1fdd9f01c70fad378428f051e0edb032.json,,,
energy-only ADAPT campaign,52,True,budget_checkpoint_96,8,0.3,0.475,antiphase,11,128,2.8779477089992724,budget,4401,4694,96,True,1.2506846084003875e-05,0.9999684140831159,results/stage5_v1/adaptive/cache/2f135004cad7ebf737e5aa15b69dbacae00108ca287c35a966799af52523d090.npz,results/stage5_v1/adaptive/cache/2f135004cad7ebf737e5aa15b69dbacae00108ca287c35a966799af52523d090.json,,,
energy-only ADAPT campaign,56,False,budget_checkpoint_128,8,0.971946,1.880783,plus,11,128,6.954908374988008,budget,8783,9232,128,True,7.124575528472121e-05,0.9999614735103711,results/stage5_v1/adaptive/cache/42dea0248c33ea0e53dc9bbeef4c6675f213080bf6f605cc8e012c4aadcd1de6.npz,results/stage5_v1/adaptive/cache/42dea0248c33ea0e53dc9bbeef4c6675f213080bf6f605cc8e012c4aadcd1de6.json,,,
energy-only ADAPT campaign,62,False,budget_checkpoint_128,8,0.501099,0.271458,plus,11,128,5.95524912502151,budget,7836,8247,128,True,0.0004893345919120273,0.9987170343208096,results/stage5_v1/adaptive/cache/95a8e526060d138960a74d3b60b5a1abd99dfc4af9bc1965b308c42117892833.npz,results/stage5_v1/adaptive/cache/95a8e526060d138960a74d3b60b5a1abd99dfc4af9bc1965b308c42117892833.json,,,
energy-only ADAPT campaign,64,True,budget_checkpoint_96,12,0.0,0.4,plus,11,192,20.74397820897866,energy_stagnation,4331,4686,96,True,6.632112692657917e-05,0.999811343862906,results/stage5_v1/adaptive/cache/4c4d9e1590cc001b4264b62c757476c2beaaad1b662b99f7704bf0cf028f84cc.npz,results/stage5_v1/adaptive/cache/4c4d9e1590cc001b4264b62c757476c2beaaad1b662b99f7704bf0cf028f84cc.json,,,
