kappa,h,reference_resolvable,registered_grid_sha,parameter_source,completed,missing
0.3,0.575,True,2fd190996019928c13ad8c51a77c91ac995fe73f5ee9d47c48c92ca538b1b414,results/stage6_v1/legacy_b3/adaptive/cache/3be8c780198eb0bdfff18465fb4b13d44275abc235b2c5a903bd2011dfd556ee.npz,[],"[[0, ""raw""], [0, ""zne_quadratic""], [0, ""sv""], [0.01, ""raw""], [0.01, ""zne_quadratic""], [0.01, ""sv""], [0.05, ""raw""], [0.05, ""zne_quadratic""], [0.05, ""sv""]]"
0.45,0.0125,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/926eaead11ef8c8f6b4a0ac2ff86ae59858354fe004fb63bc71bf74b7b3c75bc.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
0.45,0.025,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/90a506bc0f9bb80cb81a208f3d54a3973ce5717d0006303bbf4a816070907961.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
0.45,0.0375,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/9b59a90fb5457d58e28c56111ca7b4c57702f81bcaabf05ed8db90414a1ad54d.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
0.45,0.05,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/431d91ed20192fbc86f73b711eb2c99b29f37da204bd68717523a4a742e4b1d5.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
0.45,0.0625,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/a28c70560db9118e19794c474b2b3bab180ff21827f2c6b9a7165afbcc9dff9b.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
0.45,0.075,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/4d78e51885540fa7a6d51931a81c7423da65989b861fd61f0fda02ce04aa1f4d.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
0.45,0.0875,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/5aea443df783d5b96e2fc2a2ef9fac595480126485500629288e1e7ce735f357.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
0.45,0.1,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/31bec6567cfbef5fd443191e1c097210b18692d541a1bcae672ba5ea67fb827b.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
0.45,0.1125,True,bd45fcd0ee1b30c38fbad53e4046cac0b54002841dc5a3a2d541b38dbca02c8b,results/stage6_v1/legacy_b3/adaptive/cache/25de747a919b49b27629f613ff515b21528222f29be92aa13b34ac5538d5d630.npz,"[[0, ""raw"", [10000, 100000]], [0, ""zne_quadratic"", [10000, 100000]], [0, ""sv"", [10000, 100000]], [0.01, ""raw"", [10000, 100000]], [0.01, ""zne_quadratic"", [10000, 100000]], [0.01, ""sv"", [10000, 100000]], [0.05, ""raw"", [10000, 100000]], [0.05, ""zne_quadratic"", [10000, 100000]], [0.05, ""sv"", [10000, 100000]]]",[]
