kappa,h,p,estimator,comparison,budget,equal_CNOT_shots_completed,zero_CNOT_control,actual_G,actual_shots,archive,sha256,scientific_fingerprint,disposition
0.0,0.875,0,sv,equal_gate,300000,True,False,28799808,299998,results/stage6_followup_v1/measurements/3db9e766c69229e83e433d9d036849398d86654893b4a6addda8823b32370e5d.npz,c7d1ee632c5bf64d7345d8238e71aea381ad2981aacbaff215a653b8def82934,3db9e766c69229e83e433d9d036849398d86654893b4a6addda8823b32370e5d,newly_executed
0.0,0.875,0.01,raw,equal_gate,300000,True,False,28799808,299998,results/stage6_followup_v1/measurements/9f1b215f920d4110455465bd189808868ed18f87618314dcc0b789f64c7f02bc.npz,63e63037ee71d9f855d2c581d54333ed4740ed7b5c263061e71003d985b53f58,9f1b215f920d4110455465bd189808868ed18f87618314dcc0b789f64c7f02bc,newly_executed
0.0,0.875,0.01,zne_quadratic,equal_gate,300000,True,False,28799808,100000,results/stage6_followup_v1/measurements/370491567f98e2c5a791d2e16629f1352a4dfc731ae4fa708ec137bd662e4875.npz,8cdd72893dca2dc75ede1c2340b1311c8b93d3b42bc81ccadf9d9178041cdbfa,370491567f98e2c5a791d2e16629f1352a4dfc731ae4fa708ec137bd662e4875,newly_executed
0.0,0.875,0.01,sv,equal_gate,300000,True,False,28799808,299998,results/stage6_followup_v1/measurements/b8a527ebe23a725c1b9901ec387b4752f1f3a6fcdbc01c0ea95fa523b179606f.npz,a3ac897f7e097a8ee218936068e0c2dc721deee329622d0aacf410e9a0ff2591,b8a527ebe23a725c1b9901ec387b4752f1f3a6fcdbc01c0ea95fa523b179606f,newly_executed
0.0,0.875,0.05,raw,equal_gate,300000,True,False,28799808,299998,results/stage6_followup_v1/measurements/f3576af3da366fcf5bcf9859f1d122b63298c8c3fbc35f390eb49972bf97ec8e.npz,420eb357ed2ac491f6d1cad05e1482972452492cc5a9868d4d6a700f16c05479,f3576af3da366fcf5bcf9859f1d122b63298c8c3fbc35f390eb49972bf97ec8e,newly_executed
0.0,0.875,0.05,zne_quadratic,equal_gate,300000,True,False,28799808,100000,results/stage6_followup_v1/measurements/5ecfbfa84df12da7d1976235227743f84feced0814c2fd5be4a05cafd6b06dc9.npz,0734c3d569d08b165a1598633d04241717bfa978b3356bf324e57defb83fd0cc,5ecfbfa84df12da7d1976235227743f84feced0814c2fd5be4a05cafd6b06dc9,newly_executed
0.0,0.875,0.05,sv,equal_gate,300000,True,False,28799808,299998,results/stage6_followup_v1/measurements/0d0832fcc0ca353b9f5c079c5565008e2b7dc793a72048c15577d199280b0801.npz,50690f560d2dfefe5a2e360226ba8b118a6985f573093ce387ce0b3243fc83b1,0d0832fcc0ca353b9f5c079c5565008e2b7dc793a72048c15577d199280b0801,newly_executed
0.0,0.8875,0,raw,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/75e580cd8c898efc1a0980549dc7386db1b5ef9500fa0d15089068279cc09384.npz,1bba5ae628b4856cdd8bd9f70354fc3c710f3f61557c0097460a3b8790dfe4bf,75e580cd8c898efc1a0980549dc7386db1b5ef9500fa0d15089068279cc09384,newly_executed
0.0,0.8875,0,zne_quadratic,equal_shots,100000,False,False,28799808,100000,results/stage6_followup_v1/measurements/9d3ca8806a8c5f8e81eb850744d272d113de445d89dbeb869e45fee227095d72.npz,6e20d9ce435aefdda9985ea1cde54cd32de8aa6bdf6ff32ff9461a4419aa1970,9d3ca8806a8c5f8e81eb850744d272d113de445d89dbeb869e45fee227095d72,newly_executed
0.0,0.8875,0,sv,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/e6925e3d48503da425f8538b24f5e5515560699cf3ea8537e1009b0afef209dc.npz,016a06dc12e512c1ce9da04df67e4614298801b170f3ee78099088ea5bc8baeb,e6925e3d48503da425f8538b24f5e5515560699cf3ea8537e1009b0afef209dc,newly_executed
0.0,0.8875,0.01,raw,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/2fd1736c9c79008cee5d1ae26ae4faefdc975490e5b2b30b3e1368bf9db3bc71.npz,0a5513b5b508cc05c1438c38fd72e95556e99d62dd294923863ff776daa2d228,2fd1736c9c79008cee5d1ae26ae4faefdc975490e5b2b30b3e1368bf9db3bc71,newly_executed
0.0,0.8875,0.01,zne_quadratic,equal_shots,100000,False,False,28799808,100000,results/stage6_followup_v1/measurements/68b5fed4164a5e286743e341fcc9bd5aa17b342e0046023e01b132ff4022188d.npz,97883e2e16004bf259be0516b06a09dd106bfaddbad5541e1bdf96192d509c27,68b5fed4164a5e286743e341fcc9bd5aa17b342e0046023e01b132ff4022188d,newly_executed
0.0,0.8875,0.01,sv,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/b5aa85a8d1b8638187549564e1369000273557afe408c59bb9e64e075c5edad6.npz,ff2dbc4afe8c373842e6e06c12f95f0f94b63f575e1fad5f24b9efd166708000,b5aa85a8d1b8638187549564e1369000273557afe408c59bb9e64e075c5edad6,newly_executed
0.0,0.8875,0.05,raw,equal_shots,100000,False,False,9600000,100000,results/stage6_followup_v1/measurements/501fb06dc1096e6d8cedc9f3d821fee3f71861cd0b64d4ac8e01897aaf057c82.npz,156d53297a4f6ea4b008d77d2710383d4ab3f2bd8d3a4be64d09913e351f76ef,501fb06dc1096e6d8cedc9f3d821fee3f71861cd0b64d4ac8e01897aaf057c82,newly_executed
