kappa,h,reference_resolvable,parameter_source,parameter_source_sha,gate_hash,complete,historical_reused,newly_executed,combination_count,methods,p,budgets
0.45,0.0375,True,results/stage6_v1/legacy_b3/adaptive/cache/9b59a90fb5457d58e28c56111ca7b4c57702f81bcaabf05ed8db90414a1ad54d.npz,99ebe66c2b8a5fd6cf1d4f9ee257be365839ead63af2695e4e6364549b2fa2f5,6987135168f670893d550214f539202327c4c6caf6dc210b20cb406d287b5b20,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.05,True,results/stage6_v1/legacy_b3/adaptive/cache/431d91ed20192fbc86f73b711eb2c99b29f37da204bd68717523a4a742e4b1d5.npz,08bb6fe651f8e1c3f6723b2a7d0858b984ce9fa7bf5b91f937d24d9be098ba6b,3df85b9c189c0948da89cdb6f779e26b197308d44eab75084d2dc597b24bfb02,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.0625,True,results/stage6_v1/legacy_b3/adaptive/cache/a28c70560db9118e19794c474b2b3bab180ff21827f2c6b9a7165afbcc9dff9b.npz,f7ad904d85f8922e8d3505b1cab7fb758c3501f892316ad972192537dc46a2d0,d1e9004ea90bc4a058121c8f0dfac98ed3f20f5c3664cf6a45f187d4294ad167,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.075,True,results/stage6_v1/legacy_b3/adaptive/cache/4d78e51885540fa7a6d51931a81c7423da65989b861fd61f0fda02ce04aa1f4d.npz,b060d7b25217b9d1d141ac8d728853da1cb2a9599b7d7b0d120c7058c98c5bc6,366130e617367bbcd9eb6dfbc5678aea7b0f23b6b2751e60dc1b97e407f6a92b,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.0875,True,results/stage6_v1/legacy_b3/adaptive/cache/5aea443df783d5b96e2fc2a2ef9fac595480126485500629288e1e7ce735f357.npz,c5c640239ea6ea8daea832cc2c279d9e493bb686091ef1414645c66e54d11b20,47eb99806cc0c03635fd058f9ef2d2b830e32c0e113d0ef45e26cb885180bf97,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.1,True,results/stage6_v1/legacy_b3/adaptive/cache/31bec6567cfbef5fd443191e1c097210b18692d541a1bcae672ba5ea67fb827b.npz,c9b00a18dad3042d83424c9a2983955ae748babea9567082a97e7fe310a1c249,89573d60912414b18441fb04fef1937d9442801e0640d1e6bf64c3af2fb2c5d6,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.1125,True,results/stage6_v1/legacy_b3/adaptive/cache/25de747a919b49b27629f613ff515b21528222f29be92aa13b34ac5538d5d630.npz,633cd5efd216a5bafb2f4e1b859ab7495d4701f7eee9192b4238d66bc769694b,d61a8b6a5d2cbb1324d51665225cd6208ca7414a13687a7bbf1bdb95e2700c9f,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.125,True,results/stage6_v1/legacy_b3/adaptive/cache/1dd250af23dcf5051d4815773a8d58f143201dcc5b7098b5bf551610fd6d431b.npz,14f180ca60a1dc99fe7cce9b6843521a95fb7b99df792dab81d7e0be3d3a4bd0,aef286576e53d8dba093ee90d61fb7533693a34816d4c65403bb5bf0add4db89,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.1375,True,results/stage6_v1/legacy_b3/adaptive/cache/d12f9e0c609fc34bf44da69288095d582f309fe9f7e411961e73d9db66044b4b.npz,b674468002e4fb581311cbc6731b87f64db208b34f913b84cdcd62f2c2468d63,10e933683826098284d3701c73eff014d1e9013f095f3ad54f2eedb219098786,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.15,True,results/stage6_v1/legacy_b3/adaptive/cache/d06e5cae3c7e7aee7cdc1ab07d8099c5af2c211f2fb31dc1b9ca46a3abac92d9.npz,be64da0244940dc60aeea613f3994c35b58e63a47cb7cfb7df9bf59e5342add7,a10e27dca3a6c7f3b1f9737368bd10fe2c7b23db94feb795188cba0f54cdac7c,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.1625,True,results/stage6_v1/legacy_b3/adaptive/cache/d7998d632e59ca6b48407db4bd8df0e64c24b98283c0d43b72832d1528df519b.npz,019eea96e082fccdc419b06fd7633f4db09289c3a9128ebaceae8b5bb91bb6ff,b5dc1efbf94ecc108231ad4835a8fb6bddbe04e222c8088cee2dfb8434622bbe,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.175,True,results/stage6_v1/legacy_b3/adaptive/cache/9230dca72934a5430e6c248f407efc9d1086343bba98aa30432dd3e333150f23.npz,582ce8ef6233e0cd8dbbc134345f085603b0e05bb29fe100a849f3bd07e55a9b,e48f855fd9e3ecd59e656d4e718c5680bd5eedea0dedf19b6b81e88e684051d2,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.1875,True,results/stage6_v1/legacy_b3/adaptive/cache/5f0a605c637dfa86d346e43472a735b8e8e7be3bf5b24ed3eb425a0079ed3350.npz,8164d5d4f7a78e81a2fa213716750399c8e1a00e56f0d01208ca04d5304b5ecb,b1acd3356331d7f614de22122f60336a02fffd6778ee723ba14e50e7ef1a70ab,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.2,True,results/stage6_v1/legacy_b3/adaptive/cache/55ac2a08d3b3ea7c32890728c5ba21aec38ec64ed0be738227d1f7aa22a2f7c2.npz,3f0a93412a0da578c554820725778205b6dec951f44d2a343a545de3c43358b6,054182980a2dedb2357afe1284cb59742b907788c8f89cbc0e111be77d17ea34,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.45,0.2125,True,results/stage6_v1/legacy_b3/adaptive/cache/2dc65d23b3883df1d483367ec5e9b99b83689f7a3cfc0ab2110f7f7596b4299d.npz,8b313744b83eed87c4d9b32916354fe5e5f04e9e02cfa4dc74edc2ad47406a55,6ce9cf3573242199f5c766e77478341393db84a329ea4e09a9d8aa2acf42b7d2,True,18,0,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.05,False,results/stage6_v1/legacy_b3/adaptive/cache/6fa977c60e11fca58c76abf64cfb5895219a60117465435c5d725d3001613645.npz,a497a9938870f2366f967f38cf65095c4c207291eeffaa642d5074a972777081,660901e5cbac2cd890c6400648e3c73c75a15cb5f9a37e361724154b0fb1ce74,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.0625,False,results/stage6_v1/legacy_b3/adaptive/cache/b51e7961ee454584b47e5c9b4b72c63ed0db3d5d055fafd572530fb517807e91.npz,27d754afad377c8c2b3e9d125c95b7bf091957e8131ea55317081e1d0c877856,25f644eb59c6c1ddf90f48ae4d29b7cc8eb8321b47924dd9766b3bea1054cd8b,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.075,False,results/stage6_v1/legacy_b3/adaptive/cache/cdec9da5d143785e578ebdb23ea02e60a87796d27c119b4f0be2d59eb108bdd3.npz,1855d49119411586bc9ef8fc3927d844f5d5b198e81487e324ddee0b4bdb4093,404e0248e6cad9e8c6996850d894999dbd2d5fe133a6a557f0f6935365b973ce,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.0875,False,results/stage6_v1/legacy_b3/adaptive/cache/7af7ae9f9651bac3b6c1751a5ab6eb3acb4868ebe6cc4a65b3d2e9efe93b6be9.npz,c7152dfd0e7d33935b8c1a3c59ae53dff71eef6624c9c4700ca07140d380d5a6,65b94b62064d4fab5872b3e4d22ded738da9fe2ec6ec58255ab27d41c32f1fb8,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.1,False,results/stage6_v1/legacy_b3/adaptive/cache/03abb218500e5b90519b3761152a485483624015542837490cf3461c77bb23da.npz,9e8807aac156c2c81434084fb83bc9b0a5d90ca9644960bcf988ae0db7d1e4e2,2d9895212202a51f372ffce7d2755d69c920682462164388e6579e55d2fe2d2f,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.1125,False,results/stage6_v1/legacy_b3/adaptive/cache/f2f149c164c6eeffbc98ab5017fce4e2ab1db1d519238b545b1e1ae63e2d2a63.npz,e1813223b04f5a3430e2503247d1abf0914cf57bb26503c9849d235c1d2729d3,c70b593a3578b530b484a38948f694559f745ff2c5ddd111b713858da2f8f8bc,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.125,False,results/stage6_v1/legacy_b3/adaptive/cache/3c114058ddcdce495c962835e9fb6dd07f55225ebbf0235f9ada37cec4817da1.npz,fb7f5ca6e637f955c3509d4531933e7c4a1e7f68777f6dbf9576fc419d59858d,4c29a5f092e16362e5443015dc2ff2b40aedb8fa27887195673e655c426def63,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.1375,False,results/stage6_v1/legacy_b3/adaptive/cache/2f8c9f8d1ebbc730f325eb40ad8940dfada97edd91a23928d215711852a1cccd.npz,fb306d1b5e804b5c1b6197a379352d8874a16dfd43f013c55684673ddc358ba7,8dc56d3743d2ebc917d42de4b4ac63ab0fe9642a5a84c6084c4c93a902191b11,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.15,False,results/stage6_v1/legacy_b3/adaptive/cache/890587812d00c17a5a6b1aa1f8d706bf45bffbd464b9887779397f9fe99f83c4.npz,eb57b00a68b5c7b1f2776fb153567a3ea5091bb3f72ca50aacde52da7714daa7,40fd4981389b7486a1565a3cbd9323cd1e582a588551e3abc7d9a4efb6d1feb3,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
0.5,0.1625,False,results/stage6_v1/legacy_b3/adaptive/cache/d6146eb3a703c8b548f77f83049411747cff81c2d3e0a4f816b7bc9d1f64a730.npz,82081bf3073ac5695443e8c3ac8fbde606d25a8b6aa8a36aec05f2b0a32bbf52,6600b0e4254bbfe3dfa5370903fa7f8da71859c8066040a4b8fe824facbe207b,True,0,18,18,"[""raw"", ""zne_quadratic"", ""sv""]","[0, 0.01, 0.05]","[10000, 100000]"
