category,record,archive,n,kappa,h,p,seconds,nfev,nit,pool_gradient_evaluations,simulated_shots,gate_weighted_simulated_shots,shared_counts_source,disposition,record_sha256
finite_measurement,results/stage6_v1/end_to_end/measurements/a593396146bad15fc0f1299dd795c50e70bcfe007eadd847c9c481ec405631c5.json,results/stage6_v1/end_to_end/measurements/a593396146bad15fc0f1299dd795c50e70bcfe007eadd847c9c481ec405631c5.npz,8,0.425,0.05,0,0.00906070799101144,0,0,0,3520000,109120000,,newly_executed,ffa82729b9f5b75debd5e1f12ca9dfad58b2b95228a4f568346cb3b2340ad7d2
finite_measurement,results/stage6_v1/end_to_end/measurements/a59e0fd69c372b6a4d4b04d2c126ef7dbf286fcd45d5f66bc9b60f469f9029ea.json,results/stage6_v1/end_to_end/measurements/a59e0fd69c372b6a4d4b04d2c126ef7dbf286fcd45d5f66bc9b60f469f9029ea.npz,8,0.5,1.7,0,0.045996166998520494,0,0,0,3520000,1003187840,,newly_executed,289ae7694d1149e0653e9f39a3a0a15b517fdec52ca4de5f0f6e4f3d449a6312
finite_measurement,results/stage6_v1/end_to_end/measurements/a59eb735da19f40cbbf13584ffd26a2bdd8f5bad8bdecf3a93bb6f3f8b5669f1.json,results/stage6_v1/end_to_end/measurements/a59eb735da19f40cbbf13584ffd26a2bdd8f5bad8bdecf3a93bb6f3f8b5669f1.npz,8,0.05,1.0,0,0.02237866702489555,0,0,0,3520000,334400000,,newly_executed,da15015da3dc372bd44e055182dac8dfc633db3063bbd2e578ea4d55bcfd5624
finite_measurement,results/stage6_v1/end_to_end/measurements/a5a0657a1bca0e604018eb0490c841cc79ab1b1952a1843af3fe7d9b90a59dfa.json,results/stage6_v1/end_to_end/measurements/a5a0657a1bca0e604018eb0490c841cc79ab1b1952a1843af3fe7d9b90a59dfa.npz,8,0.427,0.018,0,0.0231387919629924,0,0,0,3520000,158398080,,newly_executed,14b991f42169f70e25fda33ef655e6f64b6309eb94bd6cce10cb5ba9c76de6ff
finite_measurement,results/stage6_v1/end_to_end/measurements/a5a38b4fe60910eb153f6ad91e678a86205b8847ed67b2594d0f0d6977e5d1d6.json,results/stage6_v1/end_to_end/measurements/a5a38b4fe60910eb153f6ad91e678a86205b8847ed67b2594d0f0d6977e5d1d6.npz,8,0.45,0.125,0.05,0.14802429202245548,0,0,0,3520000,447040000,,newly_executed,ceb83419064470e4aa5f4b9afd0a644bd126489d13c81805b279bfb3c36dec33
finite_measurement,results/stage6_v1/end_to_end/measurements/a5ab4c832485a27f6bc678a11b9aae17c973fe1bca962dad84a2515ee3dc3ecb.json,results/stage6_v1/end_to_end/measurements/a5ab4c832485a27f6bc678a11b9aae17c973fe1bca962dad84a2515ee3dc3ecb.npz,8,0.9,1.7,0.01,0.012845417018979788,0,0,0,0,0,results/stage6_v1/end_to_end/measurements/a87b1c07cfe63aecbf3cea31a3a569dccdca7484fde0ef8d97c69e290af6e081.npz,new_analysis_of_shared_ZNE_counts_no_additional_quantum_samples,c560b49ef6d31e69d104ed5dd1d695d6b594858afce722b2d02b6aea577a3515
finite_measurement,results/stage6_v1/end_to_end/measurements/a5af0717f1beda5c5a51c259804cb8a771ff461e47bee1c5940ef2c754c9d4d1.json,results/stage6_v1/end_to_end/measurements/a5af0717f1beda5c5a51c259804cb8a771ff461e47bee1c5940ef2c754c9d4d1.npz,8,0.4,0.30000000000000004,0.01,0.06165779201546684,0,0,0,3520000,1341103744,,newly_executed,b67941b932515c38e134a72f53d3b842c925f5260885a5d9a4f45823176cbfe8
finite_measurement,results/stage6_v1/end_to_end/measurements/a5b0ac1db1edb65addffb2423c6aaa180756c1703a6c714bd6904329cd558465.json,results/stage6_v1/end_to_end/measurements/a5b0ac1db1edb65addffb2423c6aaa180756c1703a6c714bd6904329cd558465.npz,8,0.663,0.235,0,0.03034833399578929,0,0,0,3520000,1013747712,,newly_executed,80fddb05a84627076a826ff70778eab85fce7d227cfb39d380aefe8d8a62ec50
finite_measurement,results/stage6_v1/end_to_end/measurements/a5b13588437d1386593ff289770e1447d866cb74786fcda4167477653c3ab394.json,results/stage6_v1/end_to_end/measurements/a5b13588437d1386593ff289770e1447d866cb74786fcda4167477653c3ab394.npz,8,0.3,2.0,0.05,0.055345083004795015,0,0,0,3520000,665271936,,newly_executed,b16872ba2ed36bc5944b31bd1f957655c5d3eff74f0b4c20861022aa46662f43
finite_measurement,results/stage6_v1/end_to_end/measurements/a5bf035a3314043d6074971adb806ced447ebefeb83aaf573d391a3a1bc27442.json,results/stage6_v1/end_to_end/measurements/a5bf035a3314043d6074971adb806ced447ebefeb83aaf573d391a3a1bc27442.npz,8,0.15,0.8,0.05,0.023464790952857584,0,0,0,3520000,337920000,,newly_executed,6078c0b8dc8a3d7e7a6c6f4ed909947535d8cafe6cbb55f5aa40a3aaa8b8f2df
