window,h,p,epsilon_c,epsilon_sf,epsilon_mx,branch_sensitive,both_preparations_pass
W2,0.4625,0.05,0.01928535206416604,0.004929011611435649,0.009994344568270249,False,True
W2,0.475,0,6.05059274332298e-05,2.4706830394571888e-05,1.2227190328339965e-05,False,True
W2,0.475,0.01,0.06152539363296844,0.024979638331469822,0.020208982160054734,True,True
W2,0.475,0.05,0.018378699661801154,0.004722556047379506,0.009445191655606647,False,True
W2,0.4875,0,0.0013178351664174248,0.0008704330553234163,0.0003411807205095929,False,True
W2,0.4875,0.01,0.03993558562351801,0.01803261126559652,0.031227946191841105,True,True
W2,0.4875,0.05,0.013177157353599665,0.0036211052268763366,0.010874842911394136,False,True
W2,0.5,0,0.0011274342275724436,0.0007302801939860215,0.00026991816943422453,False,True
W2,0.5,0.01,0.03780122602850028,0.017295147739828376,0.03377543024361512,True,True
W2,0.5,0.05,0.012955372172426382,0.0036649648464952,0.011605331409247011,False,True
W2,0.5125,0,0.0008008821783326847,0.0005135868590067094,0.00017801285195306882,False,True
W2,0.5125,0.01,0.03599096238034705,0.01669796431049897,0.035461630392066235,True,True
W2,0.5125,0.05,0.01279952110717866,0.0037506458880806615,0.012068967840387933,False,True
W2,0.525,0,0.00048433562746680314,0.0002938450115208546,9.378645678814745e-05,False,True
W2,0.525,0.01,0.03565027615559624,0.017288526465119136,0.03930332767457262,True,True
W2,0.525,0.05,0.012902940932100801,0.003913873479519547,0.01354821114806641,False,True
W2,0.5375,0,0.0002560282322061902,0.00014567863561304462,4.08142108890841e-05,False,True
W2,0.5375,0.01,0.03494808838752872,0.01817024788771504,0.04130727901366682,True,True
W2,0.5375,0.05,0.01308334070199459,0.004215141358750674,0.014008100278954171,False,True
W2,0.55,0,0.0005311909938052473,0.0002919923227611698,7.336321437911852e-05,False,True
W2,0.55,0.01,0.030100518670845955,0.016906310330776664,0.04593452523926633,True,True
W2,0.55,0.05,0.011926341508580584,0.004093171608158752,0.015122677607975164,False,True
W2,0.5625,0,0.0008261072453361051,0.00046830281168924737,0.00011616683345749834,False,True
W2,0.5625,0.01,0.023905818269043533,0.014095350751016034,0.04866184525320966,True,True
W2,0.5625,0.05,0.010246180443345538,0.0037503877743297886,0.0165287233406553,False,True
W2,0.575,0,0.0584146295987058,0.03298213718393439,0.010337566098790218,True,False
W2,0.575,0.01,0.09090050187251125,0.03639343300122866,0.06377361348478339,True,False
W2,0.575,0.05,0.02096283549312023,0.005453912277512019,0.02433548337367572,True,False
W2,0.5875,0,0.043369567873084644,0.024330156312225182,0.007286645178934403,True,False
W2,0.5875,0.01,0.08532926234256055,0.03300747753691252,0.06885043173401278,True,False
W2,0.5875,0.05,0.020336473905654264,0.005396264095169717,0.026474610167416975,True,False
W2,0.6,0,0.030695143984612636,0.017127638788912547,0.004907494366878318,True,False
W2,0.6,0.01,0.07870472026598266,0.028521876423109077,0.06705243640450037,True,False
W2,0.6,0.05,0.01881996847148132,0.004918001460624641,0.026332625848295724,True,False
W2,0.6125,0,0.020405191216615964,0.011308302150027982,0.003094509217735575,True,True
W2,0.6125,0.01,0.07384475484953096,0.025575655731700536,0.07156437570791391,True,True
W2,0.6125,0.05,0.01831325098585399,0.004778129366807174,0.029203936369921354,True,True
W2,0.625,0,0.011830803420335281,0.006512508640661496,0.001714347198626509,False,True
W2,0.625,0.01,0.07442631645612241,0.021464660952370263,0.06658521545450041,True,True
W2,0.625,0.05,0.019618510763536583,0.0056006582222265094,0.029021339300551306,True,True
W2,0.6375,0,0.006071541194311705,0.0033456096524308587,0.0008479651434463165,False,True
W2,0.6375,0.01,0.06828976911984738,0.020038175183596282,0.065235990647377,True,True
W2,0.6375,0.05,0.018369755730685694,0.005279975314492147,0.029027164551663414,True,True
W2,0.65,0,0.003157760694906364,0.0018428043083997814,0.0004558564918275554,False,True
W2,0.65,0.01,0.04783311272093413,0.01566546437409158,0.03762935114899851,True,True
W2,0.65,0.05,0.012686473257532683,0.004011652279356431,0.019565982388159556,False,True
W3,0.35,0,0.0005557207468031011,0.00012009384884670293,0.00023190405494138977,False,True
W3,0.35,0.01,0.047003007321967716,0.009737702268456438,0.028819147960442076,True,True
W3,0.35,0.05,0.005718786901901952,0.0012228063770553799,0.0060236776921769744,False,True
W3,0.3625,0,0.0010784805354748794,0.0002665613914178411,0.0005642224906393656,False,True
W3,0.3625,0.01,0.048383664050408504,0.014029436411806817,0.007603483486891577,True,True
W3,0.3625,0.05,0.007278707329122556,0.002570805639352275,0.002589574111702431,False,True
W3,0.375,0,0.0013659970939055022,0.0003360291690360784,0.0006780806395594308,False,True
W3,0.375,0.01,0.04673034343801008,0.013726738533111738,0.006804070913494664,True,True
W3,0.375,0.05,0.007385541029180863,0.002575901060920538,0.002226630532007886,False,True
W3,0.3875,0,0.0017136754605980853,0.0004199536818174643,0.000807662339729065,False,True
W3,0.3875,0.01,0.044581611882164696,0.013314109689478104,0.006365807694993814,True,True
W3,0.3875,0.05,0.00744343080539386,0.002564423469024135,0.0019662555512884854,False,True
