window,chain,p,feature,stride,h,value,derivative
W1,W1/ascending/seed307,0.01,mx,2,0.925,0.33610638788232466,0.3800103101514054
W1,W1/ascending/seed307,0.01,mx,2,0.95,0.3456457099887142,0.42203710718376275
W1,W1/ascending/seed307,0.01,mx,2,0.975,0.35720824324151274,0.41931212235594195
W1,W1/ascending/seed307,0.01,mx,2,1.0,0.3666113161065113,0.41184098881842246
W1,W1/ascending/seed307,0.01,mx,2,1.025,0.37780029268243387,0.4032894092134116
W1,W1/ascending/seed307,0.01,mx,2,1.05,0.38677578656718187,0.35345797852619576
W1,W1/ascending/seed307,0.01,mx,2,1.075,0.39547319160874367,0.3420693514998083
W1,W1/ascending/seed307,0.01,mx,2,1.1,0.4038792541421723,0.36919664630151505
W1,W1/ascending/seed307,0.01,mx,2,1.125,0.4139330239238195,0.3536157498424899
W1,W1/ascending/seed307,0.01,mx,2,1.15,0.4215600416342967,0.2964239823731152
W1,W1/ascending/seed307,0.01,mx,2,1.175,0.42875422304247524,0.3162061517652148
W1,W1/ascending/seed307,0.01,mx,2,1.2,0.43737034922255746,0.30409806005693873
W1,W1/ascending/seed307,0.01,mx,2,1.225,0.4439591260453223,0.251917552769763
W1,W1/ascending/seed307,0.01,mx,2,1.25,0.44996622686104565,0.2286505124881053
W1,W1/ascending/seed307,0.01,mx,1,0.75,0.2695285879970141,0.3013260306876635
W1,W1/ascending/seed307,0.01,mx,1,0.7625,0.27334267748508734,0.30892828740405776
W1,W1/ascending/seed307,0.01,mx,1,0.775,0.27725179518211557,0.31653118430276805
W1,W1/ascending/seed307,0.01,mx,1,0.7875,0.28125595709265655,0.39543925605699215
W1,W1/ascending/seed307,0.01,mx,1,0.8,0.2871377765835404,0.402441570831197
W1,W1/ascending/seed307,0.01,mx,1,0.8125,0.2913169963634365,0.33786982046371605
W1,W1/ascending/seed307,0.01,mx,1,0.825,0.29558452209513325,0.34497748902629866
W1,W1/ascending/seed307,0.01,mx,1,0.8375,0.299941433589094,0.420418974141743
W1,W1/ascending/seed307,0.01,mx,1,0.85,0.3060949964486768,0.4259828243929693
W1,W1/ascending/seed307,0.01,mx,1,0.8625,0.3105910041989182,0.3621534270660334
W1,W1/ascending/seed307,0.01,mx,1,0.875,0.3151488321253277,0.36787568542981575
W1,W1/ascending/seed307,0.01,mx,1,0.8875,0.3197878963346636,0.4598544942326477
W1,W1/ascending/seed307,0.01,mx,1,0.9,0.3266451944811439,0.4620770084307164
W1,W1/ascending/seed307,0.01,mx,1,0.9125,0.3313398215454315,0.3784477360472316
W1,W1/ascending/seed307,0.01,mx,1,0.925,0.33610638788232466,0.38099553964430477
W1,W1/ascending/seed307,0.01,mx,1,0.9375,0.3408647100365391,0.381572884255581
W1,W1/ascending/seed307,0.01,mx,1,0.95,0.3456457099887142,0.4644074566919585
