name,kappa,h,layers,seed,source,reference_source,archive,archive_sha256,end_to_end_seconds,cache_status,created_utc,energy,nit,nfev,njev,optimization_success,status,message,gradient_inf,seconds,ed_energy,delta_e,fidelity,epsilon_c,epsilon_sf,epsilon_mx,mx,observable_pass,state_pass,joint_pass,failed_metrics,window,direction,chain,grid_index
C_W3_ascending_seed101_i60,0.8,0.75,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i59.npz,results/stage3_v1/reference_supplement/k0.800_h0.750.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i60.npz,6a619c43a7281d715fed57a5a67096d3a6577ec7230d712cb31dd53e5c8b813c,0.05979220799054019,executed,2026-09-22T05:45:00.163948+00:00,-8.387145976123206,197,219,219,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2227179178481151e-05,0.05767179201939143,-8.390513526831075,0.00042094383848367833,0.9994062705875234,0.0028430727392332877,0.0010573220040138026,0.0003586864589412153,0.7390268837456678,True,True,True,[],W3,ascending,W3/ascending/seed101,60
C_W3_ascending_seed101_i61,0.8,0.7625,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i60.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.8666666666666p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i61.npz,1c17db3be74b0e32b45d01d50e4d690e8c078397a3a25a0faf0eb810c794d121,0.062158667016774416,executed,2026-09-22T05:45:00.227054+00:00,-8.461460234001557,209,228,228,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.0574193422717713e-05,0.05980816698865965,-8.464784866618853,0.0004155790771620538,0.9994212567966527,0.0027191961758387118,0.0009817116564092843,0.0004957538981656961,0.7471743058286917,True,True,True,[],W3,ascending,W3/ascending/seed101,61
C_W3_ascending_seed101_i62,0.8,0.775,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i61.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.8cccccccccccdp-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i62.npz,024ad2fec6221fc35d95a30134dbe781d59a03ad06f95ea98bc4c920ff8e2a21,0.05654612500802614,executed,2026-09-22T05:45:00.284470+00:00,-8.536565704538937,183,190,190,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.504645722024918e-06,0.050188375025754794,-8.539833786080772,0.00040851019272936107,0.9994391621392572,0.0025754284928202476,0.0009018890695518811,0.0006292827987716132,0.7548546127873458,True,True,True,[],W3,ascending,W3/ascending/seed101,62
C_W3_ascending_seed101_i63,0.8,0.7875,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i62.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.9333333333333p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i63.npz,8257eee22235512cb5e53ec41907f44f21c7aaed64324dc760287849f5256041,0.05842108401702717,executed,2026-09-22T05:45:00.343772+00:00,-8.612416487479159,188,204,204,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.453963157213252e-06,0.05327475001104176,-8.615615566380592,0.00039988486267916734,0.9994589677474778,0.0024253278148626267,0.0008235009103123858,0.0007465373011011911,0.76208760543181,True,True,True,[],W3,ascending,W3/ascending/seed101,63
C_W3_ascending_seed101_i64,0.8,0.8,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i63.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i64.npz,7176ff64b8a64e16425ea957aa8afa542260c191a12d773e3ce9955e4bf3eedc,0.05239108297973871,executed,2026-09-22T05:45:00.397022+00:00,-8.688969517635856,180,192,192,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.936280292777155e-06,0.050300790986511856,-8.692088665878881,0.0003898935303781048,0.9994802048009327,0.002270110940023301,0.0007468380493941551,0.0008476529276613132,0.7689043852005537,True,True,True,[],W3,ascending,W3/ascending/seed101,64
C_W3_ascending_seed101_i65,0.8,0.8125,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i64.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.a000000000000p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i65.npz,08f2d62c27a10becdf9cc5285cb6f49651c389023f85a495622ba50d8e928857,0.04445787501754239,executed,2026-09-22T05:45:00.442426+00:00,-8.766184530806283,149,161,161,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.362943145570398e-05,0.042106457985937595,-8.76921455252227,0.0003787527144982761,0.9995024861243628,0.0021134173534818335,0.0006729502871110349,0.0009333880892218316,0.7753349127479597,True,True,True,[],W3,ascending,W3/ascending/seed101,65
C_W3_ascending_seed101_i66,0.8,0.825,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i65.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.a666666666666p-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i66.npz,2b0f5d62de51aa10cfaa25154a86ec3cacc879a897f38169d1b2e841dc837ea4,0.0582799999974668,executed,2026-09-22T05:45:00.501574+00:00,-8.84402401839531,198,215,215,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6866079356248065e-05,0.0560212499985937,-8.846957521843493,0.0003666879310229021,0.9995252113026722,0.001960683659677248,0.0006027787304046794,0.0009950859578582438,0.7813978707482825,True,True,True,[],W3,ascending,W3/ascending/seed101,66
C_W3_ascending_seed101_i67,0.8,0.8375,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i66.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.acccccccccccdp-1.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i67.npz,114d50d5f7c4e911b258e345da2801b97d346045cd4b4ea1b85acf13502e6c2f,0.0677888750215061,executed,2026-09-22T05:45:00.570239+00:00,-8.922453141679327,236,251,251,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0019385467074926e-05,0.06532579200575128,-8.925284508764358,0.0003539208856289111,0.999548117520107,0.0018131646205489238,0.0005379302256462437,0.0010436723168752993,0.7871296333518265,True,True,True,[],W3,ascending,W3/ascending/seed101,67
C_W3_ascending_seed101_i68,0.8,0.85,6,101,results/stage4_v1/optimization/C_W3_ascending_seed101_i67.npz,results/stage3_v1/reference_supplement/k0.800_h0.850.npz,results/stage4_v1/optimization/C_W3_ascending_seed101_i68.npz,5a52b9f1e83ce46e71552deecf220b9c4ca4fa4b11ae57c44344566138735632,0.060789709008531645,executed,2026-09-22T05:45:00.631890+00:00,-9.001439622855225,208,226,226,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.8480261523734498e-05,0.05863195899291895,-9.00416489928012,0.00034065955311191054,0.9995709895460797,0.001672428284237082,0.0004847022966938466,0.0010753253691152542,0.7925499591566835,True,True,True,[],W3,ascending,W3/ascending/seed101,68
C_W3_descending_seed101_i68,0.8,0.85,6,101,results/stage3_v1/optimization/cache/852c9f55d0576bedf652935a004ad7cd5ea8a7365d7482ca3c92f9f86fd24ac7.npz,results/stage3_v1/reference_supplement/k0.800_h0.850.npz,results/stage4_v1/optimization/C_W3_descending_seed101_i68.npz,32ea7f1cc838f981e0542fbeca80c008aaa0cbda00087d4841e7e48a1daddafd,0.003005666978424415,executed,2026-09-22T05:45:14.333177+00:00,-8.99942596599809,1,4,4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7821471253398613e-05,0.0013122080126777291,-9.00416489928012,0.0005923666602536404,0.9992965920653558,0.0024388026923069933,0.0010605312532208089,0.002440511806860335,0.7939151455944286,True,True,True,[],W3,descending,W3/descending/seed101,68
C_W3_descending_seed101_i67,0.8,0.8375,6,101,results/stage4_v1/optimization/C_W3_descending_seed101_i68.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.acccccccccccdp-1.npz,results/stage4_v1/optimization/C_W3_descending_seed101_i67.npz,b9e86439a5ffae70e499b24d29c62a6691963ab17f93746f3c6365b6ce9dd4a6,0.0799084999889601,executed,2026-09-22T05:45:14.413917+00:00,-8.920297378351773,281,299,299,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.8893862299085296e-05,0.07796504200086929,-8.925284508764358,0.000623391301573184,0.9992499845807231,0.0027137015605268877,0.0011531142159303398,0.002521450028448613,0.7886074110633998,True,True,True,[],W3,descending,W3/descending/seed101,67
C_W3_descending_seed101_i66,0.8,0.825,6,101,results/stage4_v1/optimization/C_W3_descending_seed101_i67.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.a666666666666p-1.npz,results/stage4_v1/optimization/C_W3_descending_seed101_i66.npz,95a8041774837482bc62960ea391ccc252d98fcbf0fee3c4fd8b34ceb6ca50f0,0.09196599997812882,executed,2026-09-22T05:45:14.506838+00:00,-8.841714556612498,319,347,347,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.1904661941185566e-05,0.09024929098086432,-8.846957521843493,0.000655370653874332,0.9992010701127153,0.0030807511911313257,0.0012556484507984245,0.002591198936784056,0.7829939837272083,True,True,True,[],W3,descending,W3/descending/seed101,66
C_W3_descending_seed101_i65,0.8,0.8125,6,101,results/stage4_v1/optimization/C_W3_descending_seed101_i66.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.a000000000000p-1.npz,results/stage4_v1/optimization/C_W3_descending_seed101_i65.npz,d7e4a1519bcd31c37354a0c6d753ecb5486e56676d9e3b0ac7397afc30d1c91f,0.08867412499967031,executed,2026-09-22T05:45:14.596452+00:00,-8.763709372692645,305,333,333,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2798548471693039e-05,0.08683095802552998,-8.76921455252227,0.0006881474787030495,0.9991498108434395,0.0034934129544484938,0.0013684891039517366,0.0026489423772944054,0.7770504670360323,True,True,True,[],W3,descending,W3/descending/seed101,65
C_W3_descending_seed101_i64,0.8,0.8,6,101,results/stage4_v1/optimization/C_W3_descending_seed101_i65.npz,results/baseline/grid_n8.npz,results/stage4_v1/optimization/C_W3_descending_seed101_i64.npz,d83f2dc865b02ccf4dcb8b619625dabaa58b5211de805b6126bdb82777ee0817,0.09133158301119693,executed,2026-09-22T05:45:14.688760+00:00,-8.686316498033559,312,341,341,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.703385077878039e-05,0.08906237498740666,-8.692088665878881,0.0007215209806652467,0.999096499586161,0.003960696856370738,0.0014924179995587927,0.002687161657471515,0.7707438939303639,True,True,True,[],W3,descending,W3/descending/seed101,64
C_W3_descending_seed101_i63,0.8,0.7875,6,101,results/stage4_v1/optimization/C_W3_descending_seed101_i64.npz,results/stage4_v1/reference_supplement/k0x1.999999999999ap-1_h0x1.9333333333333p-1.npz,results/stage4_v1/optimization/C_W3_descending_seed101_i63.npz,6a60d84960d9ac2761472e544071672529bfc65e86fa048ff76a3efa83552dab,0.08182141699944623,executed,2026-09-22T05:45:14.771511+00:00,-8.609573622664003,285,306,306,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.504787187300849e-05,0.08011879198602401,-8.615615566380592,0.0007552429645736325,0.9990413454719315,0.004482155608284355,0.001627212648591031,0.0027032969962608178,0.7640443651269696,True,True,True,[],W3,descending,W3/descending/seed101,63
