n,group,kappa,h,candidates,historical_pass,S0_pass,S1_pass,S2_pass,oracle_available,S0_cnots,S1_cnots,S2_cnots,S2_unresolved,category,S2_fidelity,S2_energy_error,S2_w0
8,map,0.2,1.4,17,True,True,True,True,True,63,128,96,False,candidate_available,0.9999992689153765,9.154167350811093e-07,0.9999997844938592
8,map,0.2,1.5,17,True,True,True,True,True,63,127,95,False,candidate_available,0.9999991034353104,1.2561223610152439e-06,0.9999995018202035
8,map,0.2,1.6,17,True,True,True,True,True,63,127,95,False,candidate_available,0.9999994628659608,8.018954194000116e-07,0.9999997333220662
8,map,0.2,1.7,17,True,True,True,True,True,32,128,95,False,candidate_available,0.9999993411800484,1.0052661525428164e-06,0.9999997065262273
8,map,0.2,1.8,17,True,True,True,True,True,32,127,95,False,candidate_available,0.9999994224284964,9.330609092028652e-07,0.999999708666484
8,map,0.2,1.9,16,True,True,True,True,True,32,128,95,False,candidate_available,0.9999994893047407,8.584936073141591e-07,0.9999996627387565
8,map,0.2,2.0,17,True,True,True,True,True,32,128,96,False,candidate_available,0.9999996381514048,6.538654053755977e-07,0.999999793328174
8,map,0.25,0.1,14,True,True,True,True,True,31,90,63,False,candidate_available,0.9999985788099182,3.9625607173299215e-07,0.9999998472519157
8,map,0.25,0.2,17,True,True,True,True,True,63,120,96,False,candidate_available,0.9999994713305483,3.0157075481263007e-07,0.9999997183216693
8,map,0.25,0.3,18,True,True,True,True,True,95,128,128,False,candidate_available,0.9999984238185733,1.0083374497593667e-06,0.9999995429128554
8,map,0.25,0.4,15,True,True,True,True,True,127,128,128,False,candidate_available,0.9999945453022772,3.723927480048239e-06,0.9999967421195141
8,map,0.25,0.5,18,True,True,True,True,True,96,128,128,False,candidate_available,0.9999827620785974,1.076022389168152e-05,0.9999904323060472
8,map,0.25,0.6,16,True,True,True,True,True,96,128,128,False,candidate_available,0.9999945307827743,3.3137253147019763e-06,0.9999981733030816
8,map,0.25,0.7,17,True,True,True,True,True,95,127,127,False,candidate_available,0.9999981937301375,1.0992438158607953e-06,0.9999992436234755
8,map,0.25,0.8,18,True,True,True,True,True,63,127,95,False,candidate_available,0.9999975552371775,1.3211739604557238e-06,0.9999988790121529
8,map,0.25,0.9,17,True,True,True,True,True,63,128,127,False,candidate_available,0.9999984224183822,1.279918297125704e-06,0.9999994514998685
8,map,0.25,1.0,16,True,True,True,True,True,63,127,127,False,candidate_available,0.9999967712896851,2.8125930984224112e-06,0.9999987798528724
8,map,0.25,1.1,17,True,True,True,True,True,63,127,127,False,candidate_available,0.9999982835412109,1.922852260083374e-06,0.9999991212634416
8,map,0.25,1.2,18,True,True,True,True,True,63,128,128,False,candidate_available,0.9999993280557536,8.078291426905082e-07,0.9999996344586886
8,map,0.25,1.3,18,True,True,True,True,True,63,128,127,False,candidate_available,0.9999989113931219,1.413264601790587e-06,0.9999995016447027
8,map,0.25,1.4,16,True,True,True,True,True,63,128,127,False,candidate_available,0.9999992473036476,1.0237989456207686e-06,0.9999995390930914
8,map,0.25,1.5,17,True,True,True,True,True,63,128,127,False,candidate_available,0.999999572171927,6.530873177812424e-07,0.9999997287577129
8,map,0.25,1.6,16,True,True,True,True,True,63,128,127,False,candidate_available,0.9999997855458562,3.540582764749445e-07,0.9999998557608251
8,map,0.25,1.7,18,True,True,True,True,True,63,128,96,False,candidate_available,0.9999994745245846,9.292601064192496e-07,0.9999995461268993
8,map,0.25,1.8,16,True,True,True,True,True,63,128,95,False,candidate_available,0.9999994000815546,1.1323880699798394e-06,0.9999996691520644
8,map,0.25,1.9,18,True,True,True,True,True,63,128,96,False,candidate_available,0.9999997728193761,4.3972507324241406e-07,0.9999998309242155
8,map,0.25,2.0,16,True,True,True,True,True,63,112,95,False,candidate_available,0.9999995744063419,8.300288003582068e-07,0.9999996049324145
8,map,0.3,0.1,14,True,True,True,True,True,31,102,63,False,candidate_available,0.9999961513060359,8.301772504992755e-07,0.9999996839030989
8,map,0.3,0.2,15,True,True,True,True,True,63,128,128,False,candidate_available,0.9999996888891454,1.8924939559905596e-07,0.9999999183048923
8,map,0.3,0.3,17,True,True,True,True,True,96,128,128,False,candidate_available,0.9999939235757992,3.316826233557002e-06,0.9999977573447837
8,map,0.3,0.4,18,True,True,True,True,True,96,128,128,False,candidate_available,0.99998427714555,8.028621422795368e-06,0.9999935801152048
8,map,0.3,0.5,15,True,True,True,True,True,127,128,127,False,candidate_available,0.9999945366491154,2.339702607323524e-06,0.9999983761922443
8,map,0.3,0.6,17,True,True,True,True,True,95,128,128,False,candidate_available,0.9999942118981677,2.984629132729566e-06,0.9999981462144654
8,map,0.3,0.7,16,True,True,True,True,True,95,128,128,False,candidate_available,0.9999756125584089,1.375751244880874e-05,0.9999903526065385
8,map,0.3,0.8,16,True,True,True,True,True,95,128,128,False,candidate_available,0.9999846205216721,1.160506463260269e-05,0.9999907456896542
8,map,0.3,0.9,18,True,True,True,True,True,95,128,128,False,candidate_available,0.9999924699680504,6.376445223832405e-06,0.9999956532452061
8,map,0.3,1.0,18,True,True,True,True,True,95,128,127,False,candidate_available,0.9999941527077499,5.773919850904363e-06,0.9999964129315891
8,map,0.3,1.1,17,True,True,True,True,True,64,127,127,False,candidate_available,0.9999973290672131,3.0932936194716376e-06,0.999998193260003
8,map,0.3,1.2,18,True,True,True,True,True,64,128,128,False,candidate_available,0.9999981770120371,2.4219112180201563e-06,0.9999988418371597
8,map,0.3,1.3,18,True,True,True,True,True,64,128,127,False,candidate_available,0.9999987425456857,1.7602489177370728e-06,0.9999990028519359
8,map,0.3,1.4,18,True,True,True,True,True,64,128,127,False,candidate_available,0.9999993271222707,1.0153970422255298e-06,0.9999994060649069
8,map,0.3,1.5,18,True,True,True,True,True,64,128,127,False,candidate_available,0.9999993660685237,9.504989617603599e-07,0.999999593433633
8,map,0.3,1.6,17,True,True,True,True,True,64,128,127,False,candidate_available,0.999999370208679,1.0423140546222953e-06,0.9999994263941321
8,map,0.3,1.7,16,True,True,True,True,True,63,128,127,False,candidate_available,0.9999996225308104,6.760840101094345e-07,0.9999996438425416
8,map,0.3,1.8,17,True,True,True,True,True,63,127,127,False,candidate_available,0.9999998663418777,2.5513847945468626e-07,0.99999989307616
8,map,0.3,1.9,18,True,True,True,True,True,63,128,127,False,candidate_available,0.9999997369707068,5.153360143062002e-07,0.999999784348685
8,map,0.3,2.0,17,True,True,True,True,True,63,128,96,False,candidate_available,0.9999994390903395,1.1449117587325475e-06,0.999999493827745
8,map,0.35,0.1,15,True,True,True,True,True,31,114,95,False,candidate_available,0.9999942429221731,7.948690950998483e-07,0.9999979870315572
8,map,0.35,0.2,16,True,True,True,True,True,95,128,128,False,candidate_available,0.9999984949169481,7.011813406565537e-07,0.9999996718495785
8,map,0.35,0.3,17,True,True,True,True,True,96,128,128,False,candidate_available,0.9999790102595276,8.346452759933065e-06,0.9999933827590901
8,map,0.35,0.4,15,True,True,True,True,True,96,128,128,False,candidate_available,0.9999610924819866,1.016463715108884e-05,0.9999930662459054
8,map,0.35,0.5,15,True,True,True,True,True,127,127,127,False,candidate_available,0.9997200809488229,9.932478653063015e-05,0.9999513426808668
8,map,0.35,0.6,18,True,True,True,True,True,127,128,128,False,candidate_available,0.9998889453068478,6.344251613388252e-05,0.9999587799463869
8,map,0.35,0.7,18,True,True,True,True,True,96,128,128,False,candidate_available,0.9999513869903762,3.2701059663020615e-05,0.9999800164857591
8,map,0.35,0.8,17,True,True,True,True,True,95,128,128,False,candidate_available,0.9999832096596454,1.4056218766711481e-05,0.9999891993344678
8,map,0.35,0.9,18,True,True,True,True,True,95,128,128,False,candidate_available,0.9999878582018387,1.0522151806746649e-05,0.999992916878014
8,map,0.35,1.0,18,True,True,True,True,True,95,128,128,False,candidate_available,0.9999931583478768,7.3528495918573356e-06,0.9999949120188238
8,map,0.35,1.1,17,True,True,True,True,True,95,128,128,False,candidate_available,0.9999963898262686,4.336734251486618e-06,0.9999974293734776
8,map,0.35,1.2,18,True,True,True,True,True,64,127,127,False,candidate_available,0.9999959612325785,4.9387078138174445e-06,0.9999971467129023
8,map,0.35,1.3,16,True,True,True,True,True,96,128,128,False,candidate_available,0.9999988718330559,1.6873055175281593e-06,0.9999994191976669
8,map,0.35,1.4,18,True,True,True,True,True,64,128,127,False,candidate_available,0.9999986580281118,2.046064941696457e-06,0.9999988472749402
8,map,0.35,1.5,18,True,True,True,True,True,64,128,128,False,candidate_available,0.99999906657816,1.470215334364866e-06,0.9999992648239839
8,map,0.35,1.6,17,True,True,True,True,True,64,128,128,False,candidate_available,0.9999994257613677,1.0319890046961433e-06,0.9999995815070026
8,map,0.35,1.7,17,True,True,True,True,True,64,127,127,False,candidate_available,0.9999995650029359,7.81332874844054e-07,0.9999996605249037
8,map,0.35,1.8,16,True,True,True,True,True,64,128,127,False,candidate_available,0.9999994046087786,1.1804800508219415e-06,0.9999994527973409
8,map,0.35,1.9,18,True,True,True,True,True,63,127,127,False,candidate_available,0.9999996668364302,6.580799079003441e-07,0.9999997786288245
8,map,0.35,2.0,18,True,True,True,True,True,64,128,127,False,candidate_available,0.9999996914349287,6.351155072970016e-07,0.9999997303358933
8,map,0.4,0.1,16,True,True,True,True,True,31,116,96,False,candidate_available,0.9999937975577335,7.04706286436263e-07,0.9999948766927643
8,map,0.4,0.2,15,True,True,True,True,True,95,128,128,False,candidate_available,0.9999878695427122,3.52667918557259e-06,0.9999984826492119
8,map,0.4,0.3,18,False,False,False,False,False,128,128,128,False,no_qualified_candidate_budget_reached,0.9979436432639477,0.0003017563868871198,0.9995326698687541
8,map,0.4,0.4,18,True,True,True,True,True,128,128,128,False,candidate_available,0.9996752799015189,0.00016040618754642466,0.9997728212381861
8,map,0.4,0.5,18,True,True,True,True,True,127,128,128,False,candidate_available,0.9996551453449319,0.0001673212640124211,0.9998313137327324
8,map,0.4,0.6,18,True,True,True,True,True,127,128,128,False,candidate_available,0.9998426198443436,9.469896382874321e-05,0.9999186010955259
8,map,0.4,0.7,18,True,True,True,True,True,127,127,127,False,candidate_available,0.9999427672837224,4.1993461945333266e-05,0.9999597994802888
8,map,0.4,0.8,18,True,True,True,True,True,95,127,127,False,candidate_available,0.9999416399738794,4.5545531977442266e-05,0.99995725438214
8,map,0.4,0.9,18,True,True,True,True,True,95,128,127,False,candidate_available,0.9999772490503487,2.3201260283212122e-05,0.9999837731404151
8,map,0.4,1.0,17,True,True,True,True,True,95,128,128,False,candidate_available,0.9999889836207286,1.251059045803693e-05,0.9999938938980686
8,map,0.4,1.1,18,True,True,True,True,True,95,128,128,False,candidate_available,0.9999927502551582,9.411382550394976e-06,0.9999957976123207
