n,kappa,h,m0,map,mx,binder,antiphase_binder,sector_gap,residual,ambiguous,source,level,bc
8,0.45,0.65,0.15035413131350273,0.10100059369768728,0.7838769825049534,0.050116304148537516,0.00977960360691943,1.458359822797517,3.430649776667738e-15,False,results/stage6_v1/reference_atlas/cache/807a167eda3ba5da3dc100bda8f5a31efcd04bda0f038484570b32642ef52cf2.npz,RN,PBC
8,0.45,0.7,0.15182519099173292,0.1050613167218785,0.8011678902973828,0.05756098699090684,0.019618452917826823,1.6047636678455506,9.126596344307242e-15,False,results/stage6_v1/reference_atlas/cache/aa5992c977bf46f9b340d31c56c75e73619c30f16d8a563f360e60bc77784382.npz,RN,PBC
8,0.45,0.75,0.15288664997592416,0.1087411660713609,0.816648779606452,0.06370843103659662,0.029758233905578302,1.7545194983930896,6.26492591405878e-15,False,results/stage6_v1/reference_atlas/cache/3ef8748ec8ff0a92ef6065e9677e3f418215e46461a92c48309b7edd577d95d0.npz,RN,PBC
8,0.45,0.8,0.15361736451568592,0.11204576976552603,0.8304982296360963,0.06879468647806997,0.039683750552714336,1.9074745866261331,6.911110461191626e-15,False,results/stage6_v1/reference_atlas/cache/18a3a4f3e380c76a7c147c5b45204b9c1845e4ad33072ecd4b89ab7adc9088e1.npz,RN,PBC
8,0.45,0.85,0.15408495832624583,0.11499359147614108,0.8428948070478633,0.07301871279978733,0.04909745488273276,2.063441704290624,5.66010471311373e-15,False,results/stage6_v1/reference_atlas/cache/950360fa66c8ac68d57f2e6dda800e33215a8d649690ef1978e7841239edd6ca.npz,RN,PBC
8,0.45,0.9,0.15434550302204714,0.11761041290122355,0.8540073672671137,0.07654389752795643,0.05784741856897202,2.222218719037439,1.0001331828094246e-14,False,results/stage6_v1/reference_atlas/cache/598e4e912ce29a6b2047d75d3139013adc1532e5b49f7bc1f3f7e3983a46324c.npz,RN,PBC
8,0.45,0.95,0.15444448145205317,0.11992538424876933,0.8639900944961864,0.079502251216784,0.06587436144541514,2.38360120997464,9.917876380765852e-15,False,results/stage6_v1/reference_atlas/cache/eda4e2f4dea3f0d497f7809468d6a077a956743c899dbd9588711511b9d75123.npz,RN,PBC
8,0.45,1.0,0.15441826233890185,0.12196839022950293,0.8729806456359965,0.08199943874390336,0.07317518921966881,2.547390256566981,8.44098119169772e-15,False,results/stage6_v1/reference_atlas/cache/08c3330c9ec4aa026ea104eb3c83e7fd39ebaba2aba180c60740a1bf005d894f.npz,RN,PBC
8,0.45,1.05,0.15429566098780578,0.12376841306260102,0.8811001592291002,0.08411966319188979,0.07977897223559982,2.713396962240358,6.204131742841573e-15,False,results/stage6_v1/reference_atlas/cache/0b03aec147ef976dec3671a992fe48c5c0ffc6ed651fb73a375e321d64049ceb.npz,RN,PBC
8,0.45,1.1,0.1540993795039156,0.12535260111424745,0.8884542791935318,0.08592996636534911,0.08573163788185012,2.881444814650421,1.1119165578042102e-14,False,results/stage6_v1/reference_atlas/cache/b8b4bd2db58f9e5e81c3b4b85021c1237958432bb5665a30804f45d666111030.npz,RN,PBC
8,0.45,1.15,0.15384724590387117,0.12674581108471347,0.8951346508386795,0.0874838170594816,0.09108650291567977,3.051370645886858,7.395311530338958e-15,False,results/stage6_v1/reference_atlas/cache/1b4f868e4b4593de1cacfd6de35eaab6c3412d9b84784bde7a551ec2c0a65b89.npz,RN,PBC
8,0.45,1.2,0.15355323777526705,0.1279704530506382,0.9012205646032944,0.08882401050528621,0.09589860654005522,3.2230247131896403,5.326214687264784e-15,False,results/stage6_v1/reference_atlas/cache/0591f509addd37bc7ad29c84f559662417336d9fc079bc2627cf952bae2e2d4e.npz,RN,PBC
8,0.45,1.25,0.15322830716602517,0.12904651934081315,0.9067805666260258,0.08998496586673554,0.10022146346778871,3.396270250063953,9.048147369487752e-15,False,results/stage6_v1/reference_atlas/cache/413a3930ac33bd0549a6ec78581e6e1b11c04b97ac965e5859a72c085f30e116.npz,RN,PBC
8,0.45,1.3,0.15288103508906772,0.12999171753383001,0.9118739449590709,0.09099452562295252,0.10410532867753475,3.570982719320792,1.0628682306002623e-14,False,results/stage6_v1/reference_atlas/cache/079410e128f064664ce3550648e1704579634eaaf41ff04c7d06577f621cc9b5.npz,RN,PBC
8,0.45,1.35,0.1525181459438156,0.13082165601790935,0.9165520535807745,0.09187535577400663,0.10759638779354797,3.7470489184880176,6.2127866190165606e-15,False,results/stage6_v1/reference_atlas/cache/15f0387409b2f8b50d38ceab722a8972ae330684991e149a06d5b44f56524174.npz,RN,PBC
8,0.45,1.4,0.15214490964223898,0.13155004990815977,0.9208594664515248,0.09264603234202495,0.11073650028668691,3.9243660331162644,9.080528303299173e-15,False,results/stage6_v1/reference_atlas/cache/b3b4304ba4fa86bcdea6ceffb810594639826e2314416bc364d5e63ced5a1614.npz,RN,PBC
